성형수술	Plastic surgey
구조	Structure
난방	Heating system
입식	Entry ettiquette
좌식	Sitting ettiquette
대가족	Extended family
거주하다	To reside
순위	Ranking
직후	Right after
문화 충격	Culture shock
당황스럽다	To panic, be embaressed, be confused 2
황당하다	To be absurd
접하다	To have contact with
친밀감	Belonging
표시	Display
인상을 받다	To have an impression
인상에 남다	To leave an impression
인상적이다	To be impressive
친밀하다	To have intimate relations
표시하다	To mark
적응하다	To adjust
국민성	National character
농경	Reluctance
잔인하다	To be cruel
징그럽다	To be gross
야만적이다	To be barbaric
문화권	Cultural area
교류하다	To exchange
영양가가 있다	To be nutritious
영양식	Nourishing food
보충하다	To Supplement
몸보신	Strengthening tonic
평가하다	To evaluate
고유하다	To be unique
제외하다	To exclude
유산	Inheritance
도전하다	To challenge
공격하다	To attack
공격적이다	To be aggressive
이웃	Neighbour
유교	Confucianism
농경 사회	Agraricultural society
애정	Affection 2
혼술하다	To drink alone
혼밥하다	To eat alone
예의가 바르다	To have good manners
가래침을 뱉는다	To spit
금치	Forbidden
금기	Taboo
성질급하다	Urgent character
종교	Religion
위카	Wicca
이스람교	Islam
힌두교	Hinduism
기독교	Christianity
천주교	Catholicism
불교	Buddhism
공자	Confucius
도교	Taoism
권	Group
한자 문화권	East Asian culture
언어권	Language group
유럽권	European
아시아권	Asian
애완용	Pet
식용	Edible
문화적 상대성	Cultural relativism
문화적 절대성	Cultural Absoluteness
첫걸음	First step
오해를 받다	To be misunderstood
동물보호	Animal Rights
보신탕	Dog soup
초복	Monk
현대이다	To be modern
보양식	Health food
우물 안의 개구리	Big fish in a small pond
좁다	To be narrow
공격	To attack
쳐다보다	To look at
마주치다	To encounter
세계화	Globalization
복날	Dog day
중복	Overlap
말복	Horseshoe
이겨내다	To overcome
기록	Record
반려동	Companion
논란	Controversy
전문가들	Experts
운전석	Driver's seat
시부모님	Parents in law
단백질	Protein
우물 안의 개구리	Big fish in a small pond
고영량	Height
쥐꼬리	Particle
개를 기르다	To keep a dog
개를 키우다	To raise a dog
영양가	Nutritional value
영양식	Nourishing food
영양을 보충하다	To replenish nutrients
정력	Stamina
