가계부	Housekeeping book
상위에 들다	To be high (on a list)
중위에 들다	To be in the middle (of a list)
하위에 들다	To be at the bottom (of a list)
사라지다	To disappear
부담하다	To bear
챙기다	To pack
지불하다	To make a payment
결심하다	To make up one's mind
부유하다	To be rich
충동구매를 하다	To buy something on impulse
자세	Posture, position
지혜롭다	To be intelligent
꾸준하다	To be steady
티끌	Dust
일확천금	One-time money
역전하다	To reverse
대박	Awesome
제치다	To dismiss
비법	Secret
튀다	To stand out
든든하다	To be reliable
후원자	Sponser
진학하다	To further study
운영하다	To operate
스마트폰	Smartphone
관광지	Tourist destination
지수	Index
식료풍	Grocery
집화	Accessories
아쉽다	To be too bad
수입	Income
지출	Expenditure
수수료	Fees
허풍	Bragging
잘안척하다	To pretend to be nice
상휘	From the top
하위	From the bottom
간식비	Snack expenses
유흥비	Entertainment expenses
냉낭비	Air con expenses
기관	Agency
항목	Item
차지하다	To occupy
의복비	Clothing expenses
경제적이다	To be economical
도시락 싸오다	To make a lunchbox and bring it
통신비	Utilities
의료비	Medical expenses
저축	Savings
합계	Sum
생필품비	Daily expenses
수도요금	Water expenses
전기요금	Electric expense
가스요금	Gas expanse
학용품비	School item expense
공과금	Social expense
교제비	Friend outing expenses
데이트비	Date expense
소비	Consumption
선호도	Preference
더치페이	Dutch Pay
N분의 일	Divide Pay amongst party
충동구매를 하다	To impulse buy
정해 놓다	To set up
구입하다	To buy
목표	Goal
남	Other Person
성실하다	To be faithful
부지런하다	To be lazy
지혜롭다	To be wise
관련하다	To relate
환율	Exchange rate
할부	Installment
조금통	Piggy Bank
액수	Sum
투자하다	To invest
땅	Land
도자기	Ceramic
동산	Moveable investment
재산	Property
찬성	Agree
악순화다	To purge evil
주객전도	Passengers
문화체험	Cultural Expense
재테크	Investments
예금	Deposit
적금	Savings
이자	Interest
부업	Sideline
복권에 당첨되다	To win a lottery
주식	Stock
부동산에 돈을 투지하다	To make money on real estate
유산을 물려받다	To inherit one's legacy
예산	Budget
티끌 모아 태사	Small money gathers to make big money
태산	Big mountain
자린고비	Cheapskate
세계적이다	To be global
목돈	Large sum
도박	Gambling
복권	Lottery
인생 역전	Life reversal
대박이 나다	A bit hit
성공하다	To succeed
신지식이다	To be new knowledge
표창	Recognition
스팀다리미	Steam ironin
신제품	New Product
다리미	Iron
무릎	Knee
제대로	Properly
매출	Sales
안목이 있다	To have a good eye for products
눈높이에 맞추다	To match someone's viewpoint
골라주다	To pick
의무화하다	To be compulsory
경쟁	Competition
인하되다	To be reduced
피하다	To avoid
태도	Attitude
제시하다	To be present
명확하다	To be clear
의견	Opinion
좁혀지다	To become narrow
일부 동의하다	To partially agree
불안하다	To be unstable
인출기	Dispenser (ATM)
결제하다	To liquidate
비법	Secret method
뻔하다	To be obvious
경쟁하다	To compete
피해	Damage
피해를 당하다	To be injured
요새	These days
액세서리	Accessory
사장님	Boss
일손	Work-hand
든든하다	To be reliable
방해	Hinderance
후원자	Sponsor
경영학	Business studies
진학하다	To further study
가난하다	To be poor
주변	Surroundings
지출하다	To be appropriate
