그건 그렇고	By the way
가능한 한	If it is possible
형편없이	Terrible or awful
형편없다	To be terrible or awful
속도	Speed
새벽잠	Sleep after dawn
아침잠	Sleep in the morning
낮잠	Morning nap
초저녁잠	Siesta
저녁잠	Sleep after dinner
밤잠	Sleep at night
겨울잠	Hibernation
늦잠	Oversleep
선잠	Light sleep
단잠	Goodnight sleep
숙면을 (취)하다	To have a deep sleep
새우잠	To sleep curled up
쪽잠	To snatch sleep
내숭쟁이	Modesty
내숭을 떨다	To show modesty
댄스곡	Dance music
신나다	To be excited
보태다	To aid, supplement
등장하다	To make an appearance
인정받다	To receive recognition
분리하다	To seperate
전통적	Traditionally
현대적	Presently
시달리다	To be afflicted with
붐비다	To be crowded
예방하다	To prevent
능률	Efficiency
일종의	Kinds of
호소하다	To appeal, beg
제대로	Properly
단순히	Simply
중독	Addiction
경영하다	To manage
이어받다	To inherit
변함없다	To remain unchanged
펴지다	To be smoothed out
마구	Wildly
합치다	To combine
긴장감이 넘치다	To be full of tension
슬픔에 빠지다	To grieve
긴장감에 시달리다	To suffer from anxiety
건강을 유지하다	To maintain one's health
소문이 퍼지다	To spread a rumour
자신감이 넘치다	To be confident
