반박하다	To refute
트럭	Truck
골목	Alley
개성이 있다	To lack individuality
패션감각이 뛰어나다	To be fashionable
성형을 하다	To mould
계약서	Contract
꿈 개!	Dream on!
개구쟁이	Rogue, bad guy
제공하다	To provide
체육대회	Athletic competition
사무놀이	Traditional Quartet
예매	Reservation
광화문	Gwanghwamun
예술대학	Arts university
대표적	Representative
공연	Performance
신나다	To be exciting
리듬	Rhythm
변화	Change
인기	Popularity
시내	Downtown
여성스럽다	To be feminine
남자답다	To be manly
해외 공연	Overseas Performance
난타	Pommeling
세종문화회관	Sejong Centre for the Performing Arts
전통적인	Traditionally
현대적인	Modernly
총각들	Bachelors
편	Side
깔끔하다	To be neat and tidy
노랫말	Lyrics
