동창회	Reunion
설레다	To have heart flutters
껴안다	To embrace
여유	Spare
최첨단	State of the art
지문	Finger print
잡지사	Magazine publisher
인식	Recognition
동양학	Asian studies
경영하다	To operate
갇히다	To be locked up
자상하다	To be attentive
어지럽다	To feel dizzy
멀이	Motion sickness
멀이 하다	To have motion sickness
몸살감기	To have body aches with a cold
반드시	Necessarily
참가하다	To participate
다정하다	To be friendly
자료	Data
외교관	Diplomat
개발하다	To develop
뼈가 부러지다	To suffer from a broken bone
네 탓이야	Its your fault
웨딩풀래너	Wedding planner
망치다	To ruin
상하다	To go bad
취하다	To get drunk
미성년자	Underage
장학금	Scholarship money
장학생	Scholarship student
건강검진	Health check-up
