아무 때나	Anytime
언제나	Always
정해지다	To be decided
아무나	Anyone
누구나	Anyone 2
아무 곳이나	Anywhere
어디나	Everywhere
아무 데나	Anywhere 2
아무거나	Everything
무엇이나	Anything
차차	Gradually
거꾸로	In reverse
소중하다	To be precious
갑갑하다	To feel stuffy
유체적이다	To be fluid
정이 들다	To become attached
규칙적이다	To be regular
자유럽다	To be free
의무	Duty
권리	Right
겨우	Scenario
마련하다	To prepare
캄캄하다	To be pitch black
권리를 누리다	To enjoy rights
돈을 마련하다	To raise money
시간이 흐르다	Time to go by
마음이 갑갑하다	To feel stuffy
대학에 지원하다	To apply for college
교통이 통제되다	To control traffic
