사계절	Four seasons
가리키다	To point out 3
관공사	Public agency
기업체	Enterprise
나른해지다	To be lazy
대륙	Continent
뒤덮다	To cover something with
들판	Field
뚜렷하다	To be clear 2
모래바람	Sand
물들이다	To dye
본격적인	To be legitimate
뿌옇다	To sprinkle
수확	Harvesting
식육	Meat
싹(이) 트다	To sprout
썰매	Sled
아지랑이	Haze
장마	Rainy season
집중적	Intensive
짙푸르다	To be dull
천고마비	Chestnut
추석	Thanksgiving
추수	Harvest
춘공증	Notarial Certificate
쾌적하다	To be pleasant
평균	Average
풀리다	To relieve
피서	Peace
햇	Hat
황사현상	Yellow dust phenomenon
식구	Family
이르다	To rise
도달하다	To reach
산악인	Climber
정상	Normal
만리장성	Great wall of China
노숙자	Homeless
리	Unit of measurement
자정	Midnight
목이 쉬다	To have a sore throat
