갈치	Cutlassfish
감귤	Tangerine
고등어	Mackeral
돌하르방	Dol Hareubang park
라이벌	Rival
멍게	Sea Squirt
모집하다	To recruit
몰려들다	To flock
성산 일출봉	Seongsan Ilchulbong Peak
신맛	Sour Flavour
신선하다	To be fresh
싱싱하다	To be fresh (food)
액션 영화	Action Movie
옥돔	Japanese tile fish
우도	Udo Island
전복	Abalone
특산물	Speciality 2
한라산	Halla Mountain
해녀	Female diver
해산물	Seafood
해삼	Sea cucumber
화장품	Cosmetics
활발하다	To be vigorous
약하다	To be poor, weak
힘쓰다	To make an effort
인구	Population
면적	Area 2
용량	Capacity
과정	Process
기운	Power
일상생활	Daily Life
벗어나다	To escape
주관적	Subjective
관계	Relationship
객관적	Objective
단락	Paragraph
경기	Game
인상적이다	To be impressive
카피라이터	Copywriter
그리움	Yearning
지겹다	To get bored
밉다	To detest
목적	Goal, Purpose, Objective
너그럽다	To be generous
삶다	To boil
경우	Case, circumstance
결정	Decision
배낭여행	Backpack travel
과정	Process
일정	Schedule
여정	Journey
견문	Knowledge, experience
감상	Appreciation
문단	Paragraph 2
전체	The whole
기준	Standard, criteria
마무리	Finish, complete
소가 누워 있다	Cattle lie down
푸르다	Blue
모래	Sand
바닷가	Beach
햇빛	Sunlight
파도	Wave
노을	Sunset
안부	Say hello
권유	Advice 2
등장하다	To make an entrance
주제	Topic
느낀 점	Realization point
목장	Farm
섬	Island
비교	Comparison
변화	Change
인생	Life
배낭	Backpack
