갚다	To payback
내쉬다	To exhale
늘어지다	To stretch
다 못해	Not to mention
떠돌아다니다	To wander around
마	I will ~
머슴	Farmhand
멀뚱멀뚱	Absentmindedly
몸집	Petite
문간방	Hall bedroom
배기	Exhaust
부려 먹다	To work a person hard
빚	Debt
소용없다	To be of no use
쇠죽	Boiled cattle feed
심심하다	To be bored
싱글벙글	With a broad smile
쓰다	To use, to write, to be bitter
아이고	Aigoo
어이가 없다	To be absurd
외동아들	To be an only son
우람하다	To be imposing
웬	A certain
종살이	Slavery
짜리	Worth
쿨쿨	Snoring sound
푹푹	With repeated force
하품	Yawn
온통	Entirely
수리 센터	Repair centre
창백하다	To be pale
