원인	Cause
감상하다	To appreciate
개가 짖다	To bark
끊기다	To cease
의지력	Force of will
중독되다	To be addicted
활차	A pulley
초조하다	To be restless
국악	Traditional Korean music
촌스럽다	Old fashioned
모양이다	To be shaped
두고 내리다	To be left behind
분실하다	To lose an object
분실물	Lost item
머리끈	Hairband
열쇠	Key
게임기	Game concert
떠들다	To chat
코앞이다	To be in front of one's nose
선약	Previous engagement
바라던	Wanted
속상하다	To be upset
혹은	Or
알람시계	Alarm clock
경우	Case
비율	Ratio
건망증	Forgetfulness
종류	Variety
사무용품	Ofice equipment
내지	Or 2
학용품	School supplies
현상	Phenomenon
그야말로	Simply said
고가	High price
드물다	To be rare
아껴 쓰다	Use something sparingly
사회	Society
한창이다	To be in full swing
지혜	Wisdom
멀쩡하다	To be intact, unscathed
풍부하다	To be abundant
분실물 센터	Lost and found centre
신용 카드	Credit card
어머나	Oops
역무원	Station employee
연주회	Concert, recital
일이 생기다	To have something come up
정신이 없다	To be out of one's mind
주민등록증	Resdient card
후사하다	To reward generously
귀걸이	Earrings
장갑	Gloves
한쌍이	Couple
짝	Singular shoe counter
시절	Days, years
자랑하다	To boast or show off
외출하다	To go out
어쩌다	To be by chance, accident
깊다	To be deep
거짓말	Lie
아깝다	What a waste, shame
상상	Imagination
후로	Since
신경	Nerve
추억	Memory
전자제품	Electronics
추억하다	To recal a memory
소중하다	To be precious
안전하다	To be safe
