교환	Exchange
리터	Liter
구	District
미리리터	Mililitre
갈색	Brown
커피색	Coffee colour
살색	Flesh colour
충전하다	To charge something
간식거리	Snacks
부족하다	To be short of something
청바지	Jeans
허리	Waist
생	Saint
원하다	To want
인치	Inch
검정색	Black
회색	Grey
(꽉) 끼다	To be tight
(딱) 맞다	To fit well
넉넉하다	To have room
헐렁하다	To be loose
세상	World
장사가	Business
여유	Spare
충분하다	To be enough
손해가 나다	To have a loss
손해	Loss, damage
밑지다	To be out of pocket
이익	Profit
이익이 남다	To make a profit
속옷	Underwear
팬티	Panty
런닝 셔츠	Running shirt
브래지어	Bra
속치마	Underskirt
거들	Girdle
내복	Long johns
겉옷	Outer germants
면바지	Cotton trousers
스커트	Skirt
미니스커트	Mini skirt
롱스커트	Long skirt
블라우스	Blouse
셔츠	Shirt
와이셔츠	Y-shirt
티셔츠	T-shirt
티	Tee
정장	Suit
스카프	Scarf
손수건	Handkerchief
스몰	Small
미디엄	Medium
라지	Large
엑스라지	Extra large
검은색	Dark colour
청색	Blue
남색	Indigo
녹색	Green
흰색	White
보라색	Purple
연두색	Light green
베이지색	Beige
카키색	Kharki
꽉	Tightly
활짝	Wide open
숨다	To hide
드물다	To be rare
적당하다	To be adequate
잠그다	To lock
담그다	To soak
지다	To lose
풍습	Custom
갖은	All sorts of
심부름	Errands
번거롭다	To be inconvenient
보답하다	To repay
가능하다	To be possible
끌다	To tug
은혜	Grace
결레	Counter for a pair of shoes
