상대방	Partner, another
주의를 끌다	To attract attention
부부싸움	Domestic, lover's quarrel
향상시키다	To bring something on
효과적이다	To be effective 2
집중	Concentration
판단하다	To be effective
물에 데다	To scald one's self with water
치료하다	To treat
식은 죽 먹기	To be very easy
기준	Standard
반팔	Short sleeve
하늘의 별 따기	To be very difficult
음강이 없다	To be tone-deaf
푹력적이다	To be violent
미지근하다	To be luke warm
불구하다	To disregard, not be hindered
환불하다	To refund
멍이 들다	To get a bruise
시간을 내다	To make time
까먹다	To suddenly forget
깜박하다	To have a senior moment
보기에는	In my opinion
분위기가 있다	To have an atmosphere
속옷	Underwear
쑥스럽다	To be shy
운전 면허증	Driver's license
스키	Sky
은혜에 보답하다	To repay obligrations
입사 시험	Entrance exam
자식	Descendant
축하드리다	To congratulate
짐을 싸다	To pack
