성공	Success
시설	Facility
경비	Expense
분위기	Mood
상표	Trademark
능력	Ability
환경	Environment
계기	Motive
불경기	Recession
신입사원	New employee
채용하다	To adopt or introduce
지역	Area
소비자	Consumer
번거롭다	To be inconvenient
봉사 활동	Volunteering
꾸준하다	To be steady
그림의 떡	An illusion
패스트푸드	Fast food
칼로리	Calorie
예정	Schedule
반납하다	To return
자격증을 따다	To get certified
해	Sun
원일	As for the first day of the year
뜨다	To float
연봉	Annual Income
근무	Work
성능	Performance
절이다	To pickle
빼다	To take out
고춧가루	Red pepper powder
저장하다	To save
삼국지	Romance of the three kingdoms (Book)
진해지다	To thicken
이때	At this time
주재료	Main ingredient
시대	Era
중반	Mid way
이후	After this
종류	Kind
그중에서	Among them
대표적이다	To be representative
흔하다	To be common
각각	Respectively
특징	Characteristics
대부분	Most
일반적	In general
전라도	Jeolla Province
경기도	Gyeonggi Province
경상도	Gyeongsang Province
비타민	Vitamin
공급하다	To supply
물기	Damp
먹어 오다	Eating habits handed down
입맛을 살리다	To bring out flavour
더위를 식히다	To cool down
공통적으로	Commonly
칼슘	Calcium
선정하다	To select
저지방	Low-fat
예방하다	To prevent
노화	Aging
억제	Prevent, inhibit
효능	Efficiancy
헬스	Health
최고	The best
요구르트	Yoghurt
낫토	Natto
효과	Effect
소화	Digestion
질병	Disease
평가하다	To evaluate
독감	Flu
실제로	In reality
심장병	Heart disease
깍두기 김치	Raddish kimchi
배추 김치	Cabbage kimchi
갓 김치	Fresh kimchi
나박 김치	Radish water kimchi
동치미 김치	Radish water kimchi 2
백 김치	White kimchi
보쌈 김치	Kimchi to eat with meat
열무 김치	Young radish kimchi
오이 소박이 김치	Cucumber kimchi
총각 김치	Young radish kimchi 2
파 김치	Spring onion kimchi
겉절이 김치	Unfermented kimchi
고조선	Gojoseon
신라	Silla
고구려	Goguryeo
백제	Baekche
통일	Unification
고려	Goryeo
조선	Joseon
대한민국	Republic of South Korea
정의	Definition
유래	Origin
변화	Change
진화	Evolution
특장	Forte
영양	Nutrition
끈끈이	Lime
설명문	Explanation piece of writing
중부 지방	Midlands
호남 지방	Honam region
영남 지방	Yongnam region
충청 지방	Chungcheong region
강원 지방	Gangwon reigon
닭가슴살	Chicken breast
영양수	Nutrition number
독자	Reader
대상	Target
목적	Goal
동기	Motive
6.25 전쟁	The Korean War
직후	Right after
삼양식품	Samyang Foods Company
명예회장	Honorary President
플라스틱	Plastic
오해하다	To misunderstand
개발되다	To develop
가난	Poverty
호소하다	To appeal
퍼지다	To spread
한류	Hallyu
주인공	Main character
목표로	Targets
수출하다	To export
가난하다	To be poor
진하다	To be thick
국물	Broth
조리법	Preperation
사로잡다	To grip
반응	Reaction
라면업계	Instant noodle industry
정의	Definition
대조	Contrast
예시	Example
객관성	Objectivity
사실성	Realism
평이성	Review
명료성	Clarity
체계성	Systematically
적절하다	To be appropriate
건지다	To escape
그램	Gram
속	Inside
소금	Salt
포기	Give up
절이다	To pickle
종류	Kind
직접	Directly
채 치다	To julienne
심부름	Errands
양념	Seasoning
담그다	To soak
맞추다	To customize
기왕	Already
나이 들다	To reach old age
버무리다	Mix smth with smth
상표	Trademarks
재료	Material
