가정하다	To suppose
적성에 맞다	To have an aptitude
장사가 안 되다	To be unable to do business
의사소통이	Communication
인정하다	To admit
예외	Exception
굉장히	Very
견디다	To bear
완성	Completetion
극복하다	To overcome
가나다	Korean alphabet
결국	Result
걱정도 팔지다	Don't worry over nothing
그러게 말이다	You're telling me
보람	Good feeling
반칙하다	To hit below the belt
사연	Story
직업을 구하다	To find a job
취업 설명회	Job fair
취업난	Occupation
지원하다	To support
선거	Election
투표률	Turnout
매개	Parameter
중개	Mediation
우승	Championship
기름	Oil
과제	Task
신규	New
감소	Reducation
전망	Outlook
인재	Talented person
인지다	To recognize
경제 불황	Recession
기록하다	To make a note of, have a good result
대상	Target audience, participant
수백	Hundreds of
가중시키다	To increase in difficulty
선호하다	To do prefer
영업직	Sales work
경쟁률	Competition rate
학점 관리	High GPA
생산직	Production work
인사담당자	Personal Manager
금융	Finances 2
극심하다	To be severe
아르바이트조차	Even a part time job
전자	Electronic
부장	Head of department
담당자	Boss
부족하다	To lack
만족하다	To be satisfied
준비생	Applicant
준비부족이다	To be unprepared
실용문	Practical statement
종류	Kind, type
기사문	Statement
보고문	Report
성장과정	Process of growth
지원 동기	Reason for application
포부	Ambition
우선	First of all
이웃	Neightbour
실천하다	To practice
노력하다	To put in effort
인간관계	Human relationship
직설적	Straightforward
의도	Intention
오해	Misunderstanding
상대방	The other party
글로벌	Global
성장하다	To grow up
경영하다	To run
확신하다	To be assured
관습	Custom
가치관	Value
발휘하다	To show
결심하다	To make up one's mind
신중하다	To be prudent
천리길	Thousand miles
걸음	Step
자아발전	Self development
이력서	Resume
자격증	Certificate
특기	Special ability
시장 조사	Market research
분야	Field (of expertise etc)
외식	Eat out
갖추다	To prepare and bring
제출하다	To submit
지적	Intellectual
비결	Secret
비법	Secret method
차별화되다	To be differentiated
생산 	Product development
개발하다	To develop
수천	Thousands of
마찬가지 겠다	To be the same
부담	Burden
참고하다	To refer
큰상	Bigger pitcture
발전하다	To develop
가치관	Value, Belief
학사	Bachelor
교육관	Education hall
경영학	Management studies
국제 관계학	International relations studies
인내심이 강하다	To have strong perseverance
의학	Medical studies
성정과정	Growth process
신문방송학	Journalism studies
자력증을 따다	To receive a certificate
소질이 있다	To have aptitude
경연	Contest
차지하다	To occupy
훌륭하다	To be great
전교	Whole school
상위관	Top student
침착하다	To stay calm
신중하다	To be prudent
