꼭	Certainly
쑥	Jerkily
떡	Onomatopoeia for balancing on 2 feet
푹	Deeply, carefully
쭉	Straight
슬슬	Slowly, lesiurely
쪼르르	Onomatopoeia for travel of a small creature
억올하다	To surrender
태연하다	To be calm, composed
척하다	To play
말 한마디로 천 냥 빚을 갚는다	A good tongue is a good weapon
사돈 남 말 한다	Pot kettle black
남의 말 하기는 식은 죽 먹기	It is easy to criticize another's mistake
험담	Gossip
권하다	To reccomend
상당히	Considerably
댓글	Comments
터지다	To burst
허전하다	To feel empty
혼이 나다	To get angry
의도적으로	Purposely
저절로	By itself
알뜰하다	To be thrifty
낭비가 심하다	To be wasteful
경제적이다	To be economical
사건	Incident
쓸모	Usless
황당하다	To be absurd
긋다	To strike
입이 쑥 나오다	To get angry or go crazy
벌어지다	To widen
푹 빠지다	To fall in love
빠지다	To fall in
슬슬 피하다	To run away from
피하다	To avoid
던지다	To throw
떨어뜨리다	To drop
골치가 아프다	To be troubled with a problem
화해를 시키다	To reconcile
사건이 터지다	To have a scandal errupt
쓸모가 있다	To be of use
혼을 내다	To scold
