간호하다	To nurse
강도	Burglar
경비실	Security Office
고생하다	To suffer
고장	Broken
고만하기 다행이다	Its fortunate it wasn't worse
급성위염	Acute gastritis
기상예보	Weather forecast
끼이다	To fit
당황하다	To panic, be embarassed, be confused
대피	Evacuate
데려다 주다	To take someone somewhere
도둑	Thief
로터리	Rotary
메모지	Memo Paper
병명	Disease name
붙이다	To stick, attach
실려 가다	To be carried somewhere
신고 전화	Cell Phone
신음하다	To groan
어차피	Anyway
얼굴색이 좋다	To look good
연기	Acting
응급 환자	Emergency patient
인부	Human
적다	To be little
최선	The best
출동하다	To dispatch
타다	To ride
휴강	Cancelled
들어주다	To decrease
깨지다	To chip
틀다	To turn on
선풍기	Fan
무척	Very
갑자기	Suddenly
당시	At that time
도저히	I don't know
폭발하다	To explode
가끔씩	Sometimes
물에 젖디	To get wet
꼼짝도 하지 못하다	To be unable to move
다행이	Fortunately
다행스럽게	Fortunately 2
올려놓다	To put on
전기 제품	Electronic goods
떠올리다	To recall
순간	Moment
성과가 없다	To have no achievements
만성 위염	Chronic gastritis
구급차	Ambulance
구급대	Paramedic
절단기	Cutter
응급실	Emergency room
응급상황	Emergency
응급처치	First aid
간호사	Nurse
탯줄	Umbilical Cord
관광객	Tourist
계곡	Valley
추이	Progression
예상	Projection
화재	Fire
손상되다	To be damaged
