본 파이어 나이트	Bonfire night
함진아비	Korean pre-wedding ceremony
사주	Destiny, fate
양력	Solar calendar
음력	Lunar calendar
정월대보름	15th day of lunar calendar
달맞이	Evening Primrose
쥐불놀이	Juggling
다리밟기	Foot pressing
귀밝이술	Ear plugs
줄다리기 등등	Tug of war
대접하다	To serve
장독	Large fermentation pot
전기	1400 - 1592
후기	1592 - 1900
임진왜란	Japanese invasion of Korea
히터	Heater
아궁이	Fireplace
가마솥	Cauldron
온돌	Underfloor heating system
열에너지	Thermal energy
일석이조	Kill two birds with one stone
양식	Form
병자	Patient, invalid
부유층	Upper class
지속되다	To continue
골고루	Evenly
제작	Production
동영상	Video
