격동	Turbualnce
선진국	Developed country
후진국	Backwards company
유례없다	Unparalleled
토대	Foundation
토대를 닦다	Pave the way for something
성장하다	To grow
근본적이다	To be fundamental
공해	Pollution
대처하다	To cope with
민원	Civil affairs
교톤채증	Traffic control point
복합	Building complex
조성되다	To be created
폐쇄하다	To be shut down
포화 상태	Saturated condition
월드상사	World business
돌파하다	To break through
노고	Hard work
대비하다	To prepare
수요	Demand
공급	Supply
지급하다	To pay
지속적	Continusously
추이	Trend
고령화	Aging
노후	Old age
미처	Not yet
연급	Annual pension
격차	Gap
복지	Benefits, welfare
상승하다	To rise
하락하다	To fall down
신업률	Unemployment rate
제도	Institution
성장률	Growth rate
더미	Accumulation
매립하다	To reclaim
기준	Standard
정작	Actually, really
간판	Storefront sign
차지하다	To occupy
부적합하다	To be inconsistent, unsuitable
해당하다	To correspond to
잇따르다	To occur in succession
설치하다	To install
비중	Importance, weight
생태	Ecology
생태계	Ecosystem
심년이면 강산이 변한다	A lot can change in 10 years
늦게 배운 도둑이 날 새는 줄 모른다	Fall in love with something so much you stay up all night doing it
