익히다	To cook
가치관	Values
따라서	Therefore
하나일 수 있다	To be capable of doing
명예	Honour
명예욕	Desire for fame
학벌	Academic ranking
형편이 좋다	To have good (financial) circumstances
형편이 나쁘다	To have bad (financial) circumstances
넉넉하다	To have excess, be generous
밀림	Jungle
오타	Typo
총리	Prime Minister
외교부	Ministry of Foreign Affairs
교학부	Ministry of Education
장관	Minister
잦다	To be often
투병	Fight against disease
화목하다	To be harmonious
돈독하다	To be friendly, close
깨닫다	To realize, notice
이런저런	This and that
가족 간	Family Members
우애	Love
솔직히	Honestly speaking
소중함	Preciousness
대출하다	To officially borrow
빈털터리	Penniless
자포자기	Desperation
자포자기 하다	To be desperate
당첨	Large windfall
당첨자	Large windfall receiver
쥐다	To hold, grasp
그지없다	To be ceaseless
자살하다	To commit suicide
일자리	Job
사회적	Socially
이슈	Issue
욕망	Desire
주식	Stock
투자하다	To invest
재산	Property
생계	Livelihood
아부하다	To flatter, suck up to
인사발령	Personnel Appointment
진취적	Enterprising, progressive
합리적	Rationally
쫙	Syllable used to express emphasis on everywhere
눈치	Sense, tact
책임지다	To take responsibility for
퍼지다	To spread
승진	Promotion
부장님	Boss
성향	Tendency, inclination
호소하다	To appeal
프로젝트	Project
이동하다	To move
우상	Icon
말리다	To dry, stop, keep
궁지	Predicament
보장	Guarantee
제발	Please
살아 돌아오다	To come alive
영융	Hero
실망시키다	To disappoint someone
입장	Position, entrance
끌다	To tug
마감	Deadline, end
마감하다	To close, finish
모험	Adventure
모험하다	To venture
이루다	To accomplish, fulfil
차다	To be filled
채우다	To fill
복지	Welfare
기준	Standard
다수결	Majority
추구하다	To pursue
무시하다	To ignore
이구동성	Unanimously
남의 떡이 커 보인다	The grass is greener on the other side
미 운 놈 떡 하나 더 주기	Kill your enemy with kindness
떡 본 김에 제사 지낸다	To kill two birds with one stone
누워서 떡 먹기	To be as simple as lying down and eating rice cakes
궁지에 빠지다	To fall into a trap
궁지에서 벗어나다	To get out of a predicament
당첨되다	To win (the lottery)
따돌리다	To fall part
생계를 책임지다	To be responsible for (some)one's livelihood
생계를 유지하다	To maintain one's livelihood
화제	Topic of conversation
조	10^11
오해하다	To misconceive
재빠르다	To be very quick
고유어	Native Korean words
한자어	Korean words from Chinese
불명예	Dishonor
외래어	Korean words from foreign language
대리	Deputy
과장	Head of a Unit
차장	Vice head of a division
부장	Director
이사장	Chairman
사장	CEO
임원	Executives
승진하다	To advance
진급	To advance a level
진학	To advance an academic year
화려하다	To be gorgeous
항아리	Jar
영원히	Forever
비유	Metaphor
우선순위	Order of priority
통역	Translate
자음	Consonant
모음	Vowel
초성	First letter
중성	Middle letter
종성	Last letter
모래	Sand
화분	Flowerpot
쌍안경	Binoculars
커다라다	To grow
탁자	Table
이성 친구 사귀기	To meet a special friend
무궁화	Hibiscus
경매	Auction
관력	Power, authority
베프	Best friend
베스트 프렌드	Best friend 2
절친	Best friend 3
지식	Knowledge
보장	Guarantee
보험	Insurance
경쟁이 치열하다	To be highly competitive
입찰하다	To begin bidding
낙찰하다	To end bidding
헌신적이다	To be devoted
구조대	Rescue team
호칭	Title
지칭	Reference
가리키는 말	Recorded words
굶주리다	To starve
굶주림	Starving person
대상	Target
대중	The public
사생활	Privacy
존경받다	To receive respect
무시당하다	To be ignored
형편이 어렵다	To have difficult (economic) circumstances
사촌	Cousin
이웃사촌	Neighbor's cousin
동서지간	Same sex family
사돈지간	In-law's families
기계	Machine
신경 쓰다	To care
가정	Home
몸이 열개라도 모자라다	To be so busy not even 10 people would be enough to get it done
천재적	Talentedly
유니세프	UNICEF
화려하다	To be magnificent 2
보석	Jewelry
제3세계	Third world
기아	Abandoned child
고통	Pain
아동	Child
넘게	Over and over again
사칙연산	Four fundamental arithmetic functions
구겨지다	To be wrinkled
상처	Injury, wound
펴주다	To straighten out
빨래집게	Clothes line
훱쓸리다	To be swept along/away
잡아주다	To hold
북극성	North Pole
내 편이다	To be on my side
원수	Enemy
보금자리	Nest, place with warm feeling
화자	Speaker
옳다	To be right, correct
진정하다	To relax
청자	Celadon
지옥	Hell
존재	Existence
알	Egg
안식처	Homely
더하기	Addition
빼기	Subtraction
곱하기	Multiplication
나누기	Division
흔쾌히	Freely, gladly
기증하다	To donate
보답하다	To reward, repay
사연	Story
백 혈 병	Leukemia
입양되다	To be adopted
우수하다	To be superior, great
공군 사관학교	Air Force Academy
칭찬	Compliment
지도력	Leadership
일요스폐셜	Sunday special
유전자형	Genotype
골수협회가 이식	Bone marrow transplant
동포애가	Brotherhood
가정의 달	Family month
무수히 많다	To be countless
반듯하다	To be upright
유일하다	To be unique
짜릿하다	To be thrilling
데면데면하다	To be inattentive
시절	Days
살해하다	To kill
기러기 가족	Family where father stays and mother and children are abroad
뇌진탕	Concussion
사망하다	To die in an accident
불륜을 저지르다	To commit adultery
역기능	Dysfunction
끔찍하다	To be horrible
거론하다	To refer to
희생	Sacrifice
생모	Birth mother
생부	Biological father
양부모	Foster parents
애를 태우다	To pick up a child
주선하다	To arrange
조국	Motherland
끈끈하다	To be sticky
작용하다	To apply
전직 대통령	Ex-president
유전자	Gene
보도되다	To be reported
임관	Commission
