구두쇠	Scrooge
기부	Donation
방문하다	To visit
천재	Genius
투자	Investment
무려	Whopping
운영하다	To manage
상속세	Inheritance tax
주장	Opinion
사회 환원	Social return
자선	Charity (work)
기부하다	To donate
기증하다	To donate 2
재단을 설립하다	To establish a foundation
재산	Property
유산	Inheritance (when person dies)
물려주다	To leave an inheritance
물려받다	To inherit
유언	Last will and testament
유언장	A person's will
유언을 남기다	To leave a will
독립하다	To be independent
독립심을 키우다	To grow independence
자립하다	Self-reliance
자립심을 키우다	To be self-reliant
봉사 활동	Volunteering
지원 봉사	Supporting volunteering
예비신부	Bride-to-be
화제	Topic of conversation
정상급	First class, top
사흘	3 days
앞두다	To be ahead of
저렴하다	To be cheap
선뜻	Willingly
참뜻	True meaning
알쏭달쏭	Varied, motley
궁금증	Curiosity
속이 시원하다	To feel cool
연말	End of the year
신년계획	New year's resolution
과로하다	To overwork oneself
송년회	Year end party
피로감	Fatigue
해소하다	To solve
입에 달고 살다	To live hand to mouth
회복하다	To recover
만성피로	Chronic fatigue
평형	Equilibrium
휴식을 취하다	To take a break
헛갈리다	To be confused 1
헷갈리다	To be confused 2
흔하다	To be common
진단	Diagnosis
첫술에 배부르랴	Rome wasn't built in a day
될성부른 나무는 떡잎부터 알아본다	An early prick means it will be a strong thorn
값지다	To be valuable
건전하다	To be wholesome
생색내다	To flatter oneself
원망하다	To blame
실천하다	To practice, act
앞장서다	To take the lead
유족	The remains of a family
강제	Force
자국	Trace
폐지	Abolish
복구하다	To restore
특혜	Special favor
소유	Ownership
소유주	Owner
빈곤	Poverty
지원하다	To support
환원하다	To revert, return
대물림	Hand down
학자금	School fee
장학	Scholarship
장학금	Scholarship fund
설립하다	To establish
후원	Sponsor
고소득층	High-income bracket
증소득층	Middle-income bracket
가난이	Poverty 2
저소득층	Low-income bracket
기증	Donation
기증받다	To receive donations
헌혈	Blood donation
이식	Transplant
장기	Organ
심장	Heart
간	Liver
신장	Kidney
헌시하다	To dedicate
중증장애인	Severely disabled
장애인	Disabled person
기부금	Donation money
선행	Preceding
단체	Group
분노하다	To be angry
참석하다	To attend
상속	Inheritance, legacy
유품	Inheritance items
어마어마하다	To be enormous
강제적이다	To be compulsory
도로를 복구하다	To restore a road
자료를 복구하다	To restore data
파일을 복구하다	To restore a file
시스템을 복구하다	To restore a systen
피해를 복구하다	To restore damage
비로소	Finally
뒤처지다	To fall behind
안구를 이식하다	To transplant eyeballs
골수를 이식하다	To transplant bone marrow
이식 수술	Transplant surgery
폐지하다	To abolish
간접흡연	Second hand smoking
캠페인	Campaign
골수	Bone marrow
재벌	Chaebol
불우 이웃 돕기	Help a deprived neighbour
양보	Concession
호적에서 파다	To dig in the family register
자선 경매	Charity auction
낙찰되다	To be won
뺑소니	Hit and run
불과	Only (demonstrating small number)
선진국	Developed countries
저개발국	Under-developed countries
개발도상국	Developing countries
공기업	Publically owned country
차선	The next best
택견	Taekkyon
무예	Martial arts
된소리	Last sound
수익금	Income profits
턱시도	Tuxedo
뜻 깁게	Significantly
쌍	Couple counter
여	Around
증후군	Syndrome
드물다	To be rare
입에 달고 살다	To be frequent
