건네다	To hand over
격려하다	To encourage, stimulate
기적	Miracle
난독증	Dyslexia
낭독하다	To recite, read aloud
눈보라	Snowstorm
달리기	Race, run
드러내다	To come into view
떠올리다	To occur, come to mind
마디	Word, phrase
무심코	Unintentionally
무심하다	To be unintentional
붓다	To become bloated, swollen
비료	Manure, fertilizer
성급하다	To be hasty, quick
성우	Radio actor
소프라노	Soprano
송두리째	Completely, thoroughly
식욕	Appetite
쑥스럽다	To be shy, bashful
쓰다듬다	To stroke, caress
연기	Performance
영향	Influence
우울하다	To be depressed
은사	Amnesty
이간하다	To estrange, alienate
이르다	To lead to
입사하다	To join a company
조절하다	To regulate, control
존경하다	To admire
종횡무진	At will, freely
주연배우	Leading role
지도하다	To lead, instruct
처지	Situation, position
틈틈이	At spare moments
폐렴	Pneumonia
포기	Root, head
헐리우드	Hollywood
화재	A fire
화초	Flowing plant
활약하다	To be active
천국	The blessed land
도박	Gambling
입술이 닳다	To run one's lips down
숙박하다	To lodge
종횡무진	Thoroughly
웬	What
단지	Flower plant
무심코하다	To do unintentionally
송두리째	Entirely
성우인	Voice actor
난독증	Dyslexia
낭독하다	To read aloud
낭독회	Recital
화초	Only, just
떠올리다	To recall
떠오르다	To rise
눈 깜짝할 사이	In the blink of an eye
자유한국당	Liberty Korea Party
소추	Prosecution
대통령 직무 정지	Suspension of presidential duties
조선로동당	The Worker's Party of North Korean
공화동	Republican
보수당	Conservative party
의회	Congress
선거	Election
임기	Term (of presidency)
만료	Expiration
선출하다	To elect
부여되다	To be awarded
건널목	Railroad crossing
정년퇴임	Retirement age
침묵	Silence
침묵 효과	Effect of silence, mum effect
부하직원	Subordinate staff
소수	Decimal numbes
분수	Fractional numbers
리콜	Recall
우주왕복선	Space shuttle
폭발하다	To explode
미국항공우주국	NASA
물리학자	Physicist
연구원	Researcher
조직문화	Corporate culture
금기시하다	To be taboo
항공업계	Aviation industry
자체	Itself
항공기	Aircraft
기장	Captain
승무원	Flight attendant
부기장	Advisor
추락하다	To fall
구성원	Organization Member
질책	Reprimand
상급자	Superior
독려하다	To urge
권위주의	Authoritarianism
비판적	Critical
본성	Original nature
회피하다	To evade
대응	Response
후속	Subsequent
직언	Outspoken comments
향유	Enjoyment
확산하다	To diffuse
문화융성위원회	Presidential Committee on Culture and Cultural Affairs
문화체육	Cultural sports
문턱	Threshold
관광부	The Ministry of Tourism
매마수	Culture day
문화시설	Cultural facilities
취향	Preference
성과의 숨	Breath of performance
돌파	Overcome
도심	Centre of town
국립현대미술관	National Museum of Contemporary Art
거듭하다	To repeat
제공하다	To provide
동참하다	To participate
공감	Empathy
접하다	To encounter
수치	Figure
야간개방	Night opening
총	Total
