감시	Observation, supervision
검	Sword
검색하다	To search
게임	Game
과제물	Homework, assignment
관광 안내소	Travel information bureau
근사하다	To be splendid
기기	Equipment, instrument
날	Blade, edge
다루다	To handle, deal with
대충	Roughly
동영상	Moving image
만끽하다	To enjoy to the fill
망설이다	To hesitate, waver
범죄	Crime
베이다	To get cut
보고서	Report, paper
보장하다	To guarantee, secure
보편화	Universalization
빙판	Icy road
산사태	Landslide
심지어	Worst of all
안색	Complexion
여가	Spare time
요구하다	To request, claim
웅변대회	Oratorical contest
웹사이트	Website
이상형	Ideal type
인터넷	Internet
작성하다	To draw up, frame
전자우편	Email
점속하다	To contact, interface, connect
정보화	Informatization
중독	Addiction
쥐다	To clench, grasp
채팅	Chatting
초조함	Impatience, irritation
축나다	To loose weight
출산	Childbirth, delivery
편중	Overemphasis
폭식	Over eating
폭식하다	To over-eat
피우다	To neglect, become lazy
행위	Act
허구한 날	Day after day
현명하다	To be wise, sensible
헤택	Benefit
혼란스럽다	To be confused
휴대폰	Mobile phone
인사과	PR department
다짐하다	To make oneself a promise
이력서	Resume
스캔들	Scandal
만만하다	To be easy
유리창	Glass window
필름이 끊기다	To black out from drinking
축에 들다	To be one of the best
상의하다	To discuss
십상이다	8-9 times out of 10
엎드리다	To lie on one's stomach
때우다	To fill, kill time, make do with
구멍을 때우다	To fill a hole
끼니를 때우다	To make do with a meal
시간을 때우다	To kill time
말로 때우다	To pay lip service
간단한 음식으로 때우다	To make do with simple food
축나다	To grow weak
재산이 축나다	To lose one's fortune
음식이 축나다	To have food decrease
월급이 축나다	To have one's pay decreased
몸이 축나다	To have one's body grow weak
얼굴이 축나다	To lose face
혼수	Bride's furnishings for new house
냄비	Saucepan
휴게소	Service station
정보의 홍수	Information flood
만끽하다	To enjoy
음식을 만끽하다	To enjoy food
자유를 만끽하다	To enjoy freedom
생활을 만끽하다	To enjoy life
기쁨을 만끽하다	To enjoy happiness
별미	Delicacy
전원생활	Country life
사재	Private ownership
개비	Cigarette counter
갑	Cigarette packet counter
반토막	Dropped by half
수요	Demand
열풍	Angry winds
적잖다	To be small
자체	Itself
푹	Well
매출	Sales
물량	Volume
보루	Fort
급감하다	To decline
뚜렷하다	To be distinct
바로 직전	Just before
값이 뛰다	To run out of value
화하다	To be transformed into
사건 사고	Incident accident
놀이터	Playground
중상해	Serious inuries
대체휴일제	Alternative holiday
교육시설	Educational facilities
불합격	Fail
현황	Current situation
분석하다	To analyze
국민안전처	NSA
시급하다	To be urgent
개정	Amendment
안전사고	Safety accidents
소요되다	To be taken
시행	Enforcement
추세	Tendency
도입	Introduction
개선	Improvement
각별하다	To be exceptional
