고령화	Aging
관련되다	To be connected, related
관측소	An observatory
근무	Duty, work
급속하다	To be rapid, fast
기상이변	Unusual change in weather
기인하다	To be caused by
노년	Old age
다소	More or less, somewhat
단계	Stage, step
대책	Countermeasure
맏아들	First son
말미암다	To arise from, be derived from
배려	Consideration
변동	Change, alteration
부양하다	To support, maintain, provide for
분야	A field
산성비	Acid rain
선진국	A developed country
수석	Top seat
슈퍼마켓	Supermarket
실업	Unemployment
우승하다	To win the victory
위원회	Committee, board
유적	Remains, relics
이민	Emigration
익명성	Anonymity
인간성	Humanity
인구	Population
전망되다	To have a view of
정책	A policy
주식시장	Stock exchange
증가하다	To increase, grow
진국	A simple-hearted person
진입하다	To enter, go into
차원	Dimension
추세	Tendency, trend
패스트푸드	Fast food
핵가족	Nuclear family
행정	An administration
활기	Vigor, vitality
훼손되다	To be damaged, injured
취소되다	To be cancelled
폭우	Heavy rain
만절부절	Fidgetiness
말미암다	To be derived from
쓸쓸하다	To be lonely
허전하다	To feel empty
달래 주다	To soothe
외로움을 달래 주다	To soothe loneliness
슬픔을 달래 주다	To soothe saddness
허전함을 달래 주다	To soothe emptiness
쓸쓸함을 달래 주다	To soothe loneliness 2
반려동물	Companion animal
확산되다	To diffuse
고속도로	Express highway
색상	Colour
상당히	Considerably
전망하다	To view
전망되다	To be viewed
급격히	Rapidly
열풍	Angry winds
하긴	Well
출산장려운동	Promoting childbirth
부양하다	To support
노인을 부양하다	To support old people
가족을 부양하다	To support one's family
진입하다	To enter into
고속도로로 진입하다	To enter an express highway
경로로 진입하다	To enter a path
선진국으로 진입하다	To enter an advancd country
시민들	Citizens
경기 침체	Economic recession
파산하다	To go bankrupt
투자 규모	Investment scale
송두리째	Thoroughly
폭설	Heavy snow
무너지다	To collapse
성역할	Gender roles
평균수명	Average life span
진출	Advance
