가업	Family business
검색하다	To search
곁들이다	To garnish
고사	Shamanistic practice of worshiping deities
기념하다	To commemorate
기원하다	To pray
깨물다	To bite
낭비	Waste
대보름	15th January by the Lunar Calendar
돌잔치	Baby's first birthday banquet
딱하다	To be pitiful, poor
때우다	To kill time
마련하다	To prepare
물려받다	To inherit
본래	Originally
부럼	Nuts eaten on 대부름
살림	Household goods
서류	Documents
성격	Personality
성대하다	To be magnificent
암살	Assassination
어기다	To go against
언쟁	Verbal dispute
유언	One's last will and testament
점치다	To have one's fortune told
지루하다	To be tiresome
집다	To take up
집들이	House-warming Party
치르다	To go through, observe
풍속	Manners, customs
하숙집	Boarding house
한복	Traditional Korean dress
허무하다	To be vain, futile
성인식	Coming of age ceremony
환갑잔치	60th birthday ceremony
차지하다	To occupy
원료	Raw material
담배를 물다	To put a cigarette in someone's mouth
젖병을 물다	To put a baby bottle in one's mouth
사탕을 물다	To put candy in one's mouth
팔을 물다	To bite an arm
다리를 물다	To bite a leg
흉터가 있다	To have a scar
입술을 깨물다	To bite one's lips
혀를 깨물다	To bite one's tongue
사탕을 깨물다	To bite candy
열 손가락 깨물어서 아프지 않은 손가락 없다	No matter how many children a person has, they are all important to their parent
추리	Inference, deduction
출판되다	To be published
베스트셀러	Best seller
식순	Ceremony
장례를 치르다	To carry out a funeral
비롯되다	To begin
목숨	Life
목숨을 끊다	To die
목숨을 잃다	To lose one's life
목숨을 건지다	To almost die
목숨을 구하다	To save someone's life
목숨이 위태롭다	To have one's life at risk
목숨이 왔다 갔다 하다	To have one's life at risk 2
목숨을 걸다	To risk one's life
성대한 결혼식	A magnificent wedding
성대하게	Magnificently
성대히	Magnificently 2
화장	Cremation
회갑	60th birthday
성년의날	Coming of Age day
칠순	70th birthday
팔순	80th birthday
돌잡이	Career choosing ceremony at first birthday party
돌잔치를 하다	To have a first birthday party
돌잔치를 치르다	To observe a first birthday party
점을 보다	To see the future
점쟁이	Fotune teller
학자	Scholar
화살	Arrow
활	Bow
무인	Soldier
청진기	Stethoscope
판사	Judge
판사봉	Judge's rod
법조인	Legal profession
IT업계	IT industry
공	Ball
가루비누	Powdered soap
비누 거품	Lathered bubbles
감다	To reel in
보름달	Full moon
반달	Half moon
초슴달	First crescent moon
그믐달	Last crescent moon
무덤	Grave
묻다	To bury
매장	Burial
풍장	Wind burial
수목장	Tree burial
만리장성	The Great Wall of China
화장	Cremation
기념식	Anniversary
예방주사	Vaccination
꽃다발	Bouquet
기념일	Anniversary 2
벌금	Fine
음주운전	Drink drive
처벌	Punishment
해외 출장	Business trip abroad
증권 시장	Stock market
갈수록	As days go on
1인 가구	1 person household
곳곳	Everywhere
기상이변	Phenomenal Weather
오해	Misunderstanding
보존하다	To preserve
해외 특파원	Overseas reporter
국민투표	National vote
전하다	To convey, communicate
무지하다	To be ignorant
견해	View point
동성결혼	Same-sex marriage
경보	Alarm signal
합법화	Legalization
걸다	To wager, risk
귀하다	To be scarce
수입	Income
살림을 하다	To run a house
살림을 살다	To do housework 2
살림이 늘다	To increase housework
소님을 맞다	To welcome someone
새해를 맞다	To greet the new year
추석을 맞다	To welcome Thanksgiving
60세 생일을 맞다	To welcome one's 60th birthday
인생의 황혼기를 맞다	To welcome one's twilight years
죽음을 맞다	To welcome/greet death
예의	Etiquette
살림살이	House Furnishings
벙어리	Person with speech impediment
개요 쓰기	Overview writing
논설문	Editorial article
브렉시트	Brexit
일회용품	Disposable thing
설명문	Explanatory article
대강	Roughly
배치하다	To assign
균형	Balance
방향	Direction
명확히	Clearly
정하다	To decide
중복되다	To overlap
무분별하다	To be rash
활성화하다	To be active
정책	Policy
시행하다	To execute
은행 잔고	Bank balance
권장하다	To recommend
올바르게	Correctly
발급	Issuance
신규	New
제공하다	To provide
혜택	Benefits
제도적	Institutional
인해	Due to
부장용	Department manager
외상이면 소도 잡아먹는다	As long as there, is credit people will buy anything
외상	Credit
서론	Introduction
본론	Content
결론	Conclusion
문제 제기	Problem raising
대책	Measures, steps
백일 잔치	100 day celebration 
종이	Paper
성냥	Matches
붓	Brush
붓글씨	Calligraphy
기저귀	Diapers
단무지	Pickled radish
복	Luck
친지	Relatives
초	Candle
의하다	According to
풍요로워지다	To grow rich
발전하다	To develop
치료	Treatment
실시하다	To come into effect
환자	Patient
위협	Threat
자살률	Suicide rate
자살을 시도하다	To attempt suicide
중압감	Oppression
고독감	Loneliness
경영자	Manager
발달되다	To develop 2
여겨지다	To be regarded as, considered
요소	Element
논의	Discussion
핵심	Centre, point
유형	Type, category
구성하다	To constitute
흐름	Flow
연결되다	To connect
간결하게	Concisely
서술	Description, narration
방식	Method
사례를 들다	To provide an example
시간은 금이다	Time is gold
격언	Saying, proverb
독자	Reader
행해지다	To be enacted
사형제도	Death penalty
지폐	Paper money
과연	Indeed, sure enough
찬.반	Agree and disaree
억제하다	To deter
법적	Legally
손꼽	The best
측면	Aspect
특산	Characteristic
개념	Concept, idea
