가로지르다	To intersect
강습	A short training course
강좌	A lecture
개설되다	To be established
거주하다	To inhabit
관람하다	To view, watch
궁천	The high and the low
다도	Tea ceremony
다채롭다	To be multicoloured
도심	Heart of the city
도예	Ceramic art
드러나다	To come into view
바둑	Game of Go
발효 식품	Fermented food
볼거리	Things to see
분지	Basin, valley
새삼스럽다	To be abrupt
선택하다	To choose
손꼽히다	To be famous
수도	Capital city
신혼	New marriage
어우러지다	To be well-matched
유적	Remains, relics
전역	Discharge, area
진행되다	To be in progress
참여하다	To participate
촛대	Candlestick holder
충실하다	To be rich in contents
펼쳐지다	To be expanded, unfolded
한국화	Korean drawing
한반도	Korean peninsula
행상	Elevation, improvement
흩어지다	To get scattered
대륙	Continents
북동	North East
남동	South East
남서	South West
북서	North West
수도	Capital
중심부	Centre
평평하다	To be flat
궁궐	Palace
생명력	Vitality
일반인	Ordinary person
유적	Ruins
본격적	Real, genuine
남미	South America (short)
북미	North America (short)
오세아니아	Oceania
아프리카	Africa
대서양	Atlantic Ocean
태평양	Pacific Ocean
인도양	Indian Ocean
붑극해	Arctic Sea
지중해	Mediterranean Sea
열도	Archipelago
반도	Peninsula
기원전	BC
서기	AD
소련	Soviet Union
한성	Old name for Seoul
한양	Old name for Seoul 2
세기	Century
손꼽아 기다리다	To wait with anticipation
인물	Character
지리	Geography
시	City
구	District
로	Road
길	Street
흰자	Egg white
노른자	Egg yolk
병아리	Chick
송아지	Calf
망아지	Foal
소+마리	Male animal
암+마리	Female animal
뛰놀다	To frolic around
방과	School room
구석구석	Every nook and craney
감탄	Expression of admiration, wonder
구석	Interior corner
모통이	External corner
찻잔	Tea cup
비상금	Emergency fund
운	Luck
학점	School credit
격식적이다	To be formal
국가대표	National representative
소유하다	To possess
올림픽	Olympics
인하하다	To reduce
인상하다	To raise
복용법	Method for taking medicine
복용하다	To take medicine
불우하다	To be deprived
만하다	To be worthy of
보약	Herbal tonics
한약	Korean medicine
숙면	Deep Sleep
둘러싸다	To fence in
둘러싸이다	To be surrounded by
수많다	To be numerous
개운하다	To feel refreshed
드러내다	To reveal
덮다	To cover
날개	Wings
펴다	To open (a book)
부채	Fan
무대	Stage, arena
방해	Interference
국제무역	World commerce
사방으로 흩어지다	To disperse in all directions
뿔뿔이 흩어지다	To be scattered
환불	Refund
길이 있다	To have a way
안내문	Notice
공고	Announcement
공채	Open recruitment
젊은이들	Young people
우승하다	To win
상금	Prize money
국회의원	Member of national assembly
