강수량	Amount of rainfall
과정	Process
구분하다	To classify, sort
녹이다	To melt
대량	Large quantity
배출하다	To discharge
부주의	Carelessness
분리수거	Separated garbage collection
불과하다	To be nothing but
비용	Costs
산업	Industry
생산	Production
섬유	Fiber, textiles
소비	Consumption
손쉽다	To be simple
실천하다	To put into practice
썩다	To decay
얼룩	Stain, blot
에너지	Energy
오염	Pollution, contamination
일회용품	Disposable
자연	Nature
자원	Natural resources
작성하다	To draw up, frame
재생하다	To recycle
재질	Quality of material
재활용품	A recycled product
제출하다	To present, submit
주부	Housewife
주의하다	To be cautious
증가하다	To increase
처리	Management
체결하다	To conclude
카펫	Carpet
페트병	PET bottles
폐기물	Scrapped material
폐비닐	Junk vinyl
활용하다	To put into practical use
후손	Descendant
흔하다	To be common, easily obtainable
재활용	Recycling
종이류	Paper
재분류용	Reclassification
별로	Separately
현장학습	Field trip
기초대사량	Metabolic capacity
미처	Not yet
환경 오염	Environmental pollution
수질 오염	Water pollution
토양 오염	Soil pollution
대기 오염	Air pollution
내놓다	To put something out
음식을 내놓다	To put food out
그릇을 내놓다	To serve a dish
집을 내놓다	To put up a house
신곡을 내놓다	To release a new song
신간을 내놓다	To release a new book
신제품을 내놓다	To release a new product
분류 배출	Classification of trash
여사친	Female friend
남사친	Male friend
제국주의	Imperialism
짜다	To weave, make, organise, schedule
카펫을 짜다	To weave a carpet
털모자를 짜다	To weave a fur hat
시간표를 짜다	To make a timetable
계획을 짜다	To schedule plans
일정을 짜다	To make a schedule
작전을 짜다	To schedule an operation
편을 짜다	To organize sides
팀을 짜다	To organize teams
제시하다	To present
여권을 제시하다	To present a passport
운전면허증을 제시하다	To present a driver's license
신분증을 제시하다	To present an ID card
해결책을 제시하다	To present a solution
대안을 제시하다	To suggest an alternative
조건을 제시하다	To present conditions
탄핵	Impeachment
헌법재판	A constitutional trial
훔치다	To steal
설득하다	To persuade
댓글을 올리다	To post a comment
악성 댓글	Negative comments
보급률	Supply rate
이용률	Usage rate
애도하다	To mourn
악의적이다	To be malicious
네티즌	Netizen
반성하다	To reflect on oneself
개선하다	To make improvements
형사	Detective
처벌하다	To punish (legally)
정치적이다	Politically
공간	Space
사이버 공간	Cyber space
쌍방향	Two-way tie
민주주의	Democracy
익명성	Annonymity
무책임하다	To be irresponsible
비방	Slander
욕살	Curse words
빈번하다	To be frequent
악플	Negative comments 2
성숙하다	To mature
가꾸다	To cultivate, take care of
여론	Public opinion
댓글을 달다	To write a comment
갈등이 깊어지다	To become deep in conflict
형성	Formation
보급하다	To supply
돌보다	To look after
순기능	Good function
역기능	Bad function
인신공격	Cognititive attack
강화하다	To strengthen
군중 심리	Group mentality
넘치다	To overflow
팔자가	Writer
개인	Individual
침해	Infringement, violation
해킹	Hacking
출입통제	Acess control
통제구역	Control area
노출되다	To be exposed
공인이다	To be authorised
빼내다	To steal, bail out
타인	Other people
소지가 있다	To have alternative interpretations
노력	Effort
염두에 두다	To bear in mind
접근	Acess
방화벽	Firewall
악용하다	To abuse
방지	Prevention
요구되다	To be required
마음가짐	Mental attitude
대책	Counter measure
스토킹	Stalking
사진을 공유하다	To share a photo (on SNS)
개인 정보 설정	Privacy settings
개인 정보	Personal information
보편화	Universalization
홈페이지를 닫다	To close a website
의도	Intention
보안	Security
철저하다	To be thorough
체포되다	To be arrested
