공청회	Public hearing
국가고시	State examination
기대하다	To anticipate
기원하다	To pray
능력	Skill
되풀이하다	To repeat
따끔거리다	To sting, prick
떠돌다	To roam, wander
마라톤	Marathon
모쪼록	In any way
문형	Sentence pattern
발음	Pronunciation
배려하다	To consider
부딪히다	To be bumped into
부정확하다	To be inaccurate
비결	Secret, key
사소하다	To be petty
어색하다	To be awkward
어학연수	Foreign language study in a foreign country
예민하다	To be sharp, acute, sensitive
옹알거리다	To mumble, murmur
완주하다	To run the whole distance
인라인 스케이트	Inline skater
재료	Material
좌절하다	To get frustrated
죽밥	Porridge
찬바람	Cold wind
출전하다	To take part in an athletic contest
칠순 잔치	A banquet for one's 70th birthday
학습자	Learner
한국어 능력 시험	TOPIK exam
향상	Elevation, improvement
황사	Yellow dust
유출	Spillage, leak
창가 쪽	Window seat
통로 쪽	Aisle seat
불구속	Unrestrained
구속하다	To be imprisoned
검찰	Prosecution
수갑	Handcuffs
수다스럽다	To be talkative
가뭄	Drought
되풀이하다	To repeat
되풀이되다	To be repeated
최소한	The minimum
최대한	The maximum
어쩌면	Perhaps, maybe
좌절되다	To suffer a setback
좌절을 겪다	To experience frustration
흥미	Interest
흥미가 있다	To have interest
흥미가 없다	To have no interest
흥미가 생기다	To become interested in
흥미를 느끼다	To feel interested
흥미를 붙이다	To kindle interest
흥미를 잃다	To lose interest
충분하다	To be enough
불충분하다	To be insufficient
후광효과	Halo effect
아내가 예쁘면 처갓집 말뚝 보고도 절을 한다	Proverb for the halo effect
전략	Strategy
임금	Wage
경향	Tendency
심리학	Psychology (academic)
심리학자	Psychologist
이론	Theory
가정생활	Domestic life
충실하다	To be faithful
소송	Litigation
혼효과	Horn effect
자사	Company
계약	Contract
해지하다	To cancel
광고를 내리다	To make an advertisement
손가락질을 당하다	To criticize
모피코트	Fur coat
인사 담당자	Personnel manager
신뢰성	Reliability
태도	Atittude
구직자	Work-seeker
대응책	Countermeasures
만만치 않다	To be tough, a challenge
중요시하다	To be very important
충고하다	To advise
인식하다	To recognize
경청하다	To listen attentively
목소리가 높아지다	To raise one's voice
기대어	To rely on, lean on
뷰티스토어	Beauty store
작문	Composition
다정하다	To be kind, friendly
사인	Signature 
이별하다	To part ways
