생일	Birthday
선물	Present
어떻게	How
호선	Subway line
갈아타다	To change veichles
왜	Why
약속	Promise
못	Cannot
괜찮다	To be okay
하지만	But
파티	Party
꼭	Certainly
깨끗하다	To be clean
젓가락	Chopstick
숟가락	Spoon
포크	Fork
가위	Scissors
신청서	Application form
볼펜	Ball Pen
치다	To play an instrument
숙제	Homework
시청	City hall
자전거	Bike
자동차	Car
헬리콥터	Helicopter
오토바이	Motorbike
트럭	Truck
구급차	Ambulance
우주선	Spaceship
소방차	Firetruck
택시	Taxi
셔틀버스	Shuttle bus
보드	Board
인라인 스케이트	Skates
오이	Cucumber
배추	Cabbage
무	Raddish
당근	Carrot
양파	Onion
두부	Tofu
파	Spring onion
양배추	Cabbage 2
호박	Pumpkin
콩나물	Beansprouts
토마토	Tomato
옥수수	Corn
고추	Chili pepper
버섯	Field mushroom
고구마	Sweet potato
감자	Potato
