커피숍	Coffee shop
앉다	To sit down
서로	Each other
취미	Hobby
주말	Weekend
보통	Usually
영화	Movie
종종	More often than not
극장	Movie theatre
로맨틱한 영화	Romantic Movie
공포 영화	Horror movie
액션 영화	Action movie
SF 영화	Special effects movie
그렇게	Like that
혼자서	On one's own
길다	To be long
멀다	To be far
가장	Most
제일	Most 2
제주도	Jeju Island
경주	Gyeongju
설악산	Seollak Mountain
전주	Jeonju
남원	Namwon
그림 그리기	To paint
수상 스키	Water skiing
스킨스쿠버	Scuba diving
낚시	Fishing
단구	Terrace
요리	Cooking
영하 감상	Watch a movie
음악 감상	Listen to music
수영	Swimming
볼링	Bowling
등산	Mountain climbing
수집하기	Collecting
외국어 배우기	Learn a foreign language
인터넷	Internet
바둑	Go
춤	Dance
악기 연구	To play an instrumentᅮ
사진 찍기	To take a photo
조깅	Jogging
독서	Reading
골프	Golf
스키	Skiing
쇼핑	Shopping
십자수	Sewing, cross stitch
