나	I (plain)
저	I (humble)
도	Too, also
이다	To be
씨	Mr, Mrs
일본 사람	Japanese
일본	Japan
영국	England
영국 사람	English
아니요	No
아니다	To not be
미국	America
미국 사람	American
네	Yes
아	Ah, oh
그렇습니까?	Is that so?
어느	Which
자기	Oneself
소개하다	To introduce
의사	Doctor
학생	Student
선생님	Teacher
이름	Name
국적	Nationality
직업	Job, occupation
주부	Housewife
회사원	Company employee
나라	Country
언어	Language
사람	Person
한국	Korea
한국 사람	Korean
중국	China
중국 사람	Chinese
러시아	Russia
러시아 사람	Russian
한국어	Korean language
중국어	Chinese language
일본어	Japanese language
영어	English language
러시아어	Russian language
