무엇	What
컴퓨터	Computer
이것	This
저것	That over there
책상	Desk
그것	That
가족	Family
사진	Picture
누구	Who
분	Honorific of 사람
제	My
여동생	Little sister
대학생	University Student
의	Possessive particle
남동생	Little brother
오빠	Older brother (female)
보다	To look
공책	Notebook
창문	Window
친구	Friend
가방	Bag
옷	Clothes
책	Book
사과	Apple
전화	Phone
안경	Glasses
목걸이	Necklace
부인	Wife
텔레비전	Television
시계	Clock
명칭	Title
할아버지	Grandfather
할머니	Grandmother
아버지	Father
누나	Older sister (male)
언니	Older sister (female)
삼촌	Unmarried uncle
고모	Aunt
남편	Husband
외할아버지	Mother's side grandfather
외할머니	Mother's side grandmother
어머니	Mother
형	Older brother (male)
외삼촌	Unmarried mother's side uncle
이모	Maternal aunt
아내	Wife 2
