여행사	Travel agency
아르바이트	Part time job
일하다	To work
월요일	Monday
수요일	Wednesday
학교	School
학생	Student
주말	Weekend
친구	Friend
함께	Together
영화	Movie
만나다	To meet
등산을 가다	To go mountain climbing
매일	Everyday
자다	To sleep
일어나다	To get up
친절하다	To be kind
비싸다	To be expensive
바쁘다	To be busy
영화관	Movie theatre
공원	Park
쇼핑	Shopping
요리	Cooking
크리스마스	Christmas
청소	Cleaning
화요일	Tuesday
목요일	Thursday
금요일	Friday
토요일	Saturday
일요일	Sunday
아침	Breakfast
정오	Noon
저녁	Dinner
밤	Night
오전	Morning
오후	Afternoon
오늘	Today
어제	Yesterday
내일	Tomorrow
모레	Day after tomorrow
그저께	Day before yesterday
