여기	Here
행복	Happy
여행사	Travel agency
안내원	Guide
그렇다	To be like that
사무실	Office
몇	How many
층	Floor
실례지만	Excuse me
화장실	Bathroom
복도	Corridor
끝	The end
(으)로	Through
건물	Building
지하	Basement
개구리	Frog
사자	Lion
닭	Chicken
사슴	Deer
수	Number
읽기	Reading
전화번호	Telephone number
날짜	Date
삼월	March
유월	June
혜화역	Hyehwa Station
출구	Exit
일찍	Early
올라가다	To rise up
생년월일	Birthdate
언제	When
피아노	Piano
화장지	Toilet roll
우산	Umbrella
동전	Copper coins
일	1
이	2
삼	3
사	4
오	5
육	6
칠	7
팔	8
구	9
십	10
십일	11
십이	12
십삼	13
십사	14
십오	15
이십	20
삼십	30
사십	40
오십	50
육십	60
칠십	70
팔십	80
구십	90
백	100
천	1000
만	10 000
십만	100 000
백만	1 000 000
천만	10 000 000
억	100 000 000
