달다	To be sweet
짜다	To be salty
쓰다	To be bitter
시다	To be sour
맵다	To be spicy
맛있다	To be tasty
맛없다	To not be tasty
아주머니	Middle-aged woman
개	Counter for thing
얼마	How much
그건	That
아주	A lot
이건	This
배	Boat
너무	Too much
하고	And
주다	To give
모두	Altogether
조금	A little
깎다	To discount
그래요?	Really?
그럼	Then
만	Only
가게	Shop
과일	Fruit
세다	To stand
사탕	Candy
버스	Bus
녹차	Green tea
손님	Customer
장미	Rose
종이	Paper
자장면	Jajangmyun
케이크	Cake
피자	Pizza
양말	Socks
구두	Shoes
맥주	Beer
콜라	Cola
수박	Watermelon
지하철	Subway
타다	To ride
손가락	Finger
문구점	Stationary store
권	Book counter
대	Machine counter
살	Age counter
시	Hour counter
잔	Cup counter
명	Person counter
사람	Person counter 2
분	Person counter hon
마리	Animal counter
송이	Flower counter
장	Paper counter
그릇	Bowl counter
조각	Slice counter
켤레	Pair
병	Bottle counter
하나	1 (traditional)
둘	2 (traditional)
셋	3 (traditional)
넷	4 (traditional)
다섯	5 (traditional)
여섯	6 (traditional)
일곱	7 (traditional)
여덟	8 (traditional)
아홉	9 (traditional)
열	10 (traditional)
열하나	11 (traditional)\
열둘	12 (traditional)
열셋	13 (traditional)
열넷	14 (traditional)
열다섯	15 (traditional)
스물	20 (traditional)
서른	30 (traditional)
마흔	40 (traditional)
쉰	50 (traditional)
예슨	60 (traditional)
일혼	70 (traditional)
여든	80 (traditional)
아혼	90 (traditional)
