,0,1
0,지하철역,Train station
1,출입국관리사무소,Immigration office
2,여보세요?,Hello (answering the phone)
3,댁,House honorific
4,그런데요,Yes it is
5,죄송하지만,"I'm sorry but, (hon)"
6,못,Cannot
7,기다리다,To wait
8,받다,To receive
9,입다,To wear
10,죽다,To die
11,늦다,To be late
12,잘못,Wrong
13,바뀌 주다,To change speaker (on the phone)
0,월급,Monthly pay
1,빨리,Quickly
2,종업원,Attendant
3,어서 오세요,Welcome
4,드리다,To give (Hon)
5,비빔밥,Bibimbap
6,된장찌개,Soybean paste
7,이인분,2 portions
8,맛있게,Deliciously
9,경치,Scenery
10,결혼,Marriage
11,바다,Ocean
12,시헙,Test
13,밥,Rice
14,김치,Kimchi
15,빵,Bread
16,햄버거,Hamburger
17,통닭,A whole chicken
18,샌드위치,Sandwich
19,계란 프라이,Fried egg
20,김밥,Kimbap
21,떡볶이,Ddeokbokki
22,회,Raw fish
23,스파게티,Spaghetti
24,생선,Seafood
25,만두,Dumplings
26,샐러드,Salad
27,팥빙수,Patbingsu
28,국수,Soup
29,라면,Ramyun
0,운전기사,Driver
1,츨근,Work Travel
2,더,More
3,들어가다,To go in
4,내리다,To descend
5,소설책,Novel
6,뜨겁다,To be hot
7,무겁다,To be heavy
8,돕다,To help
9,차갑다,To be cold
10,아름답다,To be beautiful
0,수업,Lesson
1,부터,From
2,끝나다,To finish
3,문법,Grammar
4,회화,Conversation
5,매주,Every week
6,까지,Until
7,배우다,To learn
8,가요,Popular song
9,동요,Children's song
10,정각,On time
11,보통,Usually
12,시작하다,To start
13,기차,Train
14,출발하다,To depart
15,뛰다,To run
16,회사,Company
17,서울,Seoul
18,부산,Busan
19,저기,Over there
20,얼굴,Face
21,알다,To know
22,마시다,To drink
23,용돈,Pocket money
24,신문,Newspaper
25,뉴욕,New York
0,시간이 있다,To have time
1,결레,Pair (of socks)
2,알겠습니다,I understand
3,비자,Visa
4,연정하다,To extend
5,표,Ticket
6,빌리다,To loan
7,나쁘다,To be bad
8,고프다,To be hungry
9,아프다,To be in pain
10,크다,To be big
11,슬프다,To be sad
12,식탁,Dinner table
13,산책,Stroll
14,노래방,Karaoke
0,고양이,Hometown
1,강아지,Puppy
2,부모님,Parents
3,지갑,Wallet
4,새,Bird
5,비둘기,Dove
6,넥타이,Neck tie
7,선물하다,To give a present
8,키스,Kiss
9,이매일,Email
10,한테,To
11,한테서,From
12,에게,To 2
13,에게서,From 2
14,보내다,To spend
15,요리,Dish
16,학원,Institution
17,좋아하다,To like
18,잘,Well
19,만들다,To make
20,요리사,Chef
21,되다,To be able
22,싶어하다,To want (3rd person)
0,경복궁,Gyeongbokgung Palace
1,옛날,A long time ago
2,왕,King
3,찍다,To take a picture
4,근처,Vicinity
5,광화문,Gwanghawmun
6,얼마나,How long
7,걸리다,To take time
8,정도,Around
9,성균관대,Sungkyunkwan
10,놀이 공원,Amusement park
11,정말,Really
12,술,Alcohol
13,쯤,About
14,비행기,Plane
15,배,Ship
16,어젯밤,Last night
17,지난,Last
18,세수하다,To wash
19,데이트하다,To date
20,지난주,Last week
21,남자,Man
22,여자,Woman
23,병원,Hospital
0,생일,Birthday
1,선물,Present
2,어떻게,How
3,호선,Subway line
4,갈아타다,To change veichles
5,왜,Why
6,약속,Promise
7,못,Cannot
8,괜찮다,To be okay
9,하지만,But
10,파티,Party
11,꼭,Certainly
12,깨끗하다,To be clean
13,젓가락,Chopstick
14,숟가락,Spoon
15,포크,Fork
16,가위,Scissors
17,신청서,Application form
18,볼펜,Ball Pen
19,치다,To play an instrument
20,숙제,Homework
21,시청,City hall
22,자전거,Bike
23,자동차,Car
24,헬리콥터,Helicopter
25,오토바이,Motorbike
26,트럭,Truck
27,구급차,Ambulance
28,우주선,Spaceship
29,소방차,Firetruck
30,택시,Taxi
31,셔틀버스,Shuttle bus
32,보드,Board
33,인라인 스케이트,Skates
34,오이,Cucumber
35,배추,Cabbage
36,무,Raddish
37,당근,Carrot
38,양파,Onion
39,두부,Tofu
40,파,Spring onion
41,양배추,Cabbage 2
42,호박,Pumpkin
43,콩나물,Beansprouts
44,토마토,Tomato
45,옥수수,Corn
46,고추,Chili pepper
47,버섯,Field mushroom
48,고구마,Sweet potato
49,감자,Potato
0,달다,To be sweet
1,짜다,To be salty
2,쓰다,To be bitter
3,시다,To be sour
4,맵다,To be spicy
5,맛있다,To be tasty
6,맛없다,To not be tasty
7,아주머니,Middle-aged woman
8,개,Counter for thing
9,얼마,How much
10,그건,That
11,아주,A lot
12,이건,This
13,배,Boat
14,너무,Too much
15,하고,And
16,주다,To give
17,모두,Altogether
18,조금,A little
19,깎다,To discount
20,그래요?,Really?
21,그럼,Then
22,만,Only
23,가게,Shop
24,과일,Fruit
25,세다,To stand
26,사탕,Candy
27,버스,Bus
28,녹차,Green tea
29,손님,Customer
30,장미,Rose
31,종이,Paper
32,자장면,Jajangmyun
33,케이크,Cake
34,피자,Pizza
35,양말,Socks
36,구두,Shoes
37,맥주,Beer
38,콜라,Cola
39,수박,Watermelon
40,지하철,Subway
41,타다,To ride
42,손가락,Finger
43,문구점,Stationary store
44,권,Book counter
45,대,Machine counter
46,살,Age counter
47,시,Hour counter
48,잔,Cup counter
49,명,Person counter
50,사람,Person counter 2
51,분,Person counter hon
52,마리,Animal counter
53,송이,Flower counter
54,장,Paper counter
55,그릇,Bowl counter
56,조각,Slice counter
57,켤레,Pair
58,병,Bottle counter
59,하나,1 (traditional)
60,둘,2 (traditional)
61,셋,3 (traditional)
62,넷,4 (traditional)
63,다섯,5 (traditional)
64,여섯,6 (traditional)
65,일곱,7 (traditional)
66,여덟,8 (traditional)
67,아홉,9 (traditional)
68,열,10 (traditional)
69,열하나,11 (traditional)\
70,열둘,12 (traditional)
71,열셋,13 (traditional)
72,열넷,14 (traditional)
73,열다섯,15 (traditional)
74,스물,20 (traditional)
75,서른,30 (traditional)
76,마흔,40 (traditional)
77,쉰,50 (traditional)
78,예슨,60 (traditional)
79,일혼,70 (traditional)
80,여든,80 (traditional)
81,아혼,90 (traditional)
0,항상,Always
1,먼저,First
2,극장,Movie theatre
3,공포 영화,Horror movie
4,벌써,Already
5,이사하다,To move house
6,약,Medicine
7,수영장,Swimming pool
8,굽다,To roast
9,끓이다,To boil liquids
10,삶다,To boil solids
11,튀기다,To deep fry
12,볶다,To stir fry
13,썰다,To chop
14,반족하다,To knead
15,넣다,To place
16,섞다,To mix
17,담다,To put in
0,지금,Now
1,어디,Where
2,가다,To go
3,혼자,Alone
4,같이,Together
5,동대문,Dongdaemun
6,시장,Market
7,동대문 시장,Dongdaemun market
8,사다,To buy
9,만나다,To meet
10,산,Mountain
11,점심,Lunch
12,식당,Restaurant
13,우체국,Post office
14,시간,Time
