치료하다	To be cured, treated
과음을 하다	To over drink (alcohol)
소화제	Digestive medicine
천사	Angel
문어	Octopus
편식하다	To be picky with food
과식하다	To overeat
포식하다	To eat to one's hearts content
인상을 쓰다	To frown
한숨을 쉬다	To sigh
똑바로 앉다	To sit up straight
바르게 앉다	To sit properly
수면제	Sleeping tablets
양을 세다	To count sheep
규칙적으로 생활하다	To live regularly (healthily)
불규칙적으로 생활하다	To live unhealthily
불면증	Insomnia
문병	Hospital visit
문병하다	To visit a friend in hospital
병문안가다	To visit someone in a hospital
눈병이 생기다	To have an eye infection
눈병에 걸리다	To catch an eye infection
증	Syndrome
건망증	Forgetfulness
감옥	Prison
치매	Dementia
조기 치매	Early onset dementia
성형	Plastic surgery
독감에 걸리다	To catch flu
치과	Dentistry
장염에 걸리다	To suffer from enteritis
이비인후과	Ear nose throat department
기관지염에 걸리다	To get bronchitis
성형외과	Plastic surgery
방귀가 나오다	To break wind
소아과	Pediatrics
눈이 따갑다	To have stinging eyes
정신과	Psychiatry
목이 쉬다	To have a hoarse throat
산부인과	OB GYN
소화가 안 되다	To have digestion problems
외과	Surgical department
위염에 걸리다	To suffer from gastritis
피부과	Dermatology
과로로 쓰러지다	To faint from overwork
안과	Opthalmology
토하다	To throw up
정형외과	Orthopedics
방귀 냄새	Wind smell
내과	Internal medicine
코피가 나다	To have a nose bleed
충혈이 나다	To have bloodshot eyes
속이 울렁거리다	To feel sick
임신을 하다	To be pregnant
온몸	Whole body
기침이 나다	To have a cough
콧물이 나오다	To have a runny nose
우울하다	To be depressed
눈이 나빠지다	To have eyesight worsen
한숨	Sigh, break or rest
팔이 부러지다	To have a broken arm
통통	Chubby
불면증에 걸리다	To have insomnia
귀지	Earwax
충치가 생기다	To have a cavity
잇몸이 붓다	To have swollen gums
허리	Waist
설사를 하다	To have loose bowels
무좀에 걸리다	To catch athlete's foot
눈을 비비다	To rub one's eyes
긁다	To scratch
렌즈를 끼다	To wear contact lenses
입	Mouth
장갑 끼다	To wear gloves
반지 끼다	To wear a ring
렌즈를 빼다	To take out lenses
이	Tooth
코	Nose
눈썹	Eyebrows
눈	Eye
귀	Ear
볼	Cheek
팔	Arm
손가락	Finger
허벅지	Thigh
종아리	Calf
넓적다리	Thigh 2
가슴	Chest
언덩이	Bottom
팔꿈치	Elbow
손목	Wrist
발톱	Claw
발목	Ankle
손바닥	Palm of hand
턱을 깎다	To cut one's chin
속눈썹	Eyelashes
머리	Head
입슬	Lips
머리가락	Hair
얼글	Face
목	Neck
손	Hand
어깨	Shoulders
무릎	Knee
발	Foot
히프	Hip
발가락	Toes
발바닥	Sole of one's foot
손톱	Fingernail
이마	Forehead
쇄골	Collarbone
턱	Chin
두껍다	Thick
애교살	Aegyo fat
애교를 부리다	To show aegyo
애교가 있다	To have aegyo
보조개	Dimple
다크써클	Dark circles
귓볼	Ear lobes
