가시다	Honorific of 가다
읽으시다	Honorific of 읽다
사시다	Honorific of 사다
아프시다	Honorific of 아프다
드시다	Honorific of 먹다
오시다	Honorific of 오다
보시다	Honorific of 보다
주무시다	Honorific of 자다
돌아가시다	Honorific of 죽다
계시다	Honorific of 있다
있으시다	Honorific of 있다 2
진지	Honorific of 밥
연세	Honorific of 나이
댁	Honorific of 집
말씀	Honorific of 말
따님	Honorific of 딸
병	Disease
병환	Honorific of 병
성함	Honorific of 이름
분	Honorific of 사람
생신	Honorific of 생일
아드님	Honorific of 아들
여쭙다	Honorific of 묻다
뵙다	Honorific of 만나다
문어체	Written form
구어체	Spoken form
샘	Slang for 선생님
과하다	To be excessive
조울증	Bipolar disorder
