구하다	To look for
옮기다	To move
비다	To be empty
싣다	To load
등교하다	To go to school
시간이 걸리다	To take time
돈이 들다	To cost money
출근하다	To go to work
떠나다	To leave
데려가다	To take someone
모셔가다	To take someone hon.
가져가다	To take something
예전	The old days
직접	In person, directly
언제든지	Whenever
따로	Seperately
물가	Price
교통비	Transport cost
근처	Nearby, vicinity
덕분에	Thanks to
게시판	Notice board
하숙집	Lodgings
기숙사	Dormitory
가전제품	Home appliances
책장	Book case
침대	Bed
책상	Desk
냉장고	Fridge
전자레인지	Microwave
부엌	Kitchen
샤워실	Shower Room
전세	Key money
평	3.3m^2
월세	Rent
주방	Kitchen 2
마음에 들다	To be to one's liking
부동산	Real Estate Agent
원룸	One room
고시원	Goshiwon
가구	Furniture
식탁	Dining table
옷장	Wardrobe
세탁기	Washing machine
에어컨	Air conditioner
가스레인지	Gas range
위치	Situation
비용	Cost
관리비	Utility fees
보증금	Deposit
전망이 좋다	To have a good view
단독주택	Detached house
거실	Living room
별도	Separately
포함	Including
동거	Live together
공동 화장실	Shared bathroom
냉장고 유	To have a fridge
냉장고 무	To have no fridge
저렴하다	To be cheap
신청하다	To apply
곤란하다	To be hard pressed
포함하다	To include
대충	Roughly
중고	Used
독방	Live alone
옵션	Not fully furnished
풀옵션	Fully furnished
합숙	Live together 2
공동 샤워실	Shared shower room
도우미	Helper
대신	Instead of
올리다	To put something online
불친절하다	To be unkind
매번	Every time
헌	Used 2
공짜	Free
억	100 000 000
꼼꼼하게	Detailed
몸매가 좋다	To have a good body
몸매가 나쁘다	To have a bad body
정확하게	Precisely
