입금하다	To deposit
출금하다	To withdraw
송금하다	To send a wire transfer
환전하다	To change money
저축하다	To save
(에) 취직하다	To take a job
뿌듯하다	To be proud
적다	To be few, write important information
성실하다	To be sincere
뽑다	To pull
발행되다	To be published
서류	Documents
질	Quality
통장	Passbook
양	Quantity
품질이 좋다	To be good quality
불성실하다	To be insincere
반장을 뽑다	To pick a class president
대통령을 뽑다	To elect a president
반대	Opposite
갑자기 소나기가 오다	To suddenly shower
생활 정보지	Local newspaper
연봉	Annual Income
기사	Article
머리카락을 뽑다	To pull out hair
이를 뽑다	To pull out teeth
상황	Condition
성적	Results
천둥이 치다	To have thunder
번개가 치다	To have lightening
용산 전자상가	Yongsan electric store
돌리다	To turn
모델 명	Model Number
무료	Free 2
체그 카드	Check Card
직불 카드	Debit card
어쩐지	Somehow
스트레스가 쌓이다	To have stress piled up
스트레스	Stress
스트레스가 풀리다	To relieve stress
잠깐	A short time
비누 방울을 불다	To blow bubbles
끝나면	Once that has finished
신용 카드	Credit Card
