미루다	To postpone
가득하다	To be full
꺼내다	To take out
착각하다	To mistakenly think
쏟아지다	To spill
(세탁기를) 돌리다	To do laundry
밟다	To step on
장난을 치다	To playfully tease
멈추다	To cease movement
빨래를 짜다	To wring out laundry
빨래를 널다	To put laundry away
정리하다	To put things in order
환기시키다	To change the air
챙기다	To pack up
사라지다	To disappear
갑자기	Suddenly
대충	Roughly
내내	Throughout
훨씬	A lot
줄겁다	To be joyful
귀찮다	To be tiresome
부럽다	To be envious
괴롭다	To be painful
지루하다	To be bored
지진	Earthquake
번역	Translation
논문	Thesis
제목	Title
관련된	Associated
교환하다	To exchange clothes
손 빨래를 하다	to hand wash
빨래를 걷다	To take in laundry
책꽂이	Book case
근육이 있다	To have muscles
먼지	Dust
꽂다	To place or stick
쓰레기통을 비우다	To empty the waste bin
옷을 개다	To fold clothes
걸레로 닦다	To wipe with a duster
세탁기로 빨래하다	To wash in a washing machine
서랍을 정리하다	To sort drawers
그릇을 닦다	To wash dishes
귀신	Ghost
청소기를 밀다	To vacuum 2
청소기를 돌리다	To vacuum
빗자루로 쓸다	To sweep with a broom
빗자루질하다	To sweep the floor
걸레질하다	To scrub
설거지를 하다	To do washing up
엉망이다	To be a mess
칫솔	Toothbrush
스타킹	Stocking
켜다	To turn on
목도리	Scarf
켜지다	To be turned on
떨어지다	To fall
떨다	To tremble or shake
액자	Frame
꺼지다	To be extinguished
끄다	To turn off
쑤시다	To poke
아무튼	Anyway
털다	To dust
밤	Chestnut
집안일의 종류	Types of housework
아이 돌보기	To take care of children
전등을 갈기	To change a light bulb
분리수거하기	To seperate waste
꽃과 나무에 물 주기	To water flowers and plants
컴퓨터 바이러스 체그 하기	To check a computer for viruses
고장난 TV 고치다	To fix a broken TV
집들이	Housewarming party
수리하다	To repair
왜냐하면	It is because
