어리다	To be young
주문하다	To order
계획을 세우다	To make plans
자나가다	To pass by
시키다	To order 2
삐치다	To sulk
갖다 주다	To go and bring something
모으다	To collect
무리하다	To overdo it
마치다	To finish
들다	To lift up
잡다	To catch
불쌍하다	To be pitiful
입에 맞다	To be to one's taste
입 맛이 없다	To not be to one's taste
입이 무겁다	To be good at keeping secrets
입이 짧다	To have a small appetite
입이 가볍다	To have a loose tongue
달다	To be sweet
쓰다	To be bitter
맵다	To be spicy
시다	To be sour
짜다	To be salty
싱겁다	To be bland
달콤하다	To be sweet and tasty
쌉쌀하다	To be bitter and tasty
매콤하다	To be spicy and tasty
새콤하다	To be sour and tasty
짭짤하다	To be salty and tasty
느끼다	To be oily
밍밍하다	To be weak tasting
담백하다	To be unoily
썰다	To chop
굽다	To roast or bake
섞다	To mix 2
끓이다	To boil (liquid)
찌다	To steam
냄비	Saucepan
프라이팬	Frying Pan
칼	Knife
도마	Chopping board
볶다	To stir-fry
튀기다	To fry
비비다	To mix
삶다	To boil (an egg)
담다	To place on or in
그릇	Dish
접시	Plate
국자	Ladle
뒤집개	Spatula
원래	Originally
누구나	Whoever
시절	Days, years
금방	A few minutes ago
