돌아다니다	To go here and there
살이 빠지다	To lose weight
홀륭하다	To be really great
최선을 다하다	To do one's best
소중하다	To be precious
흥미진진하다	To be exciting
부족하다	To be short of something
곧장	Straight
아마	Probably
감동적	Touching
평소(에)	Normally
뮤지컬	Musical
전통	Tradition
가해자	Attacker, assailant
피해자	Victim
목격자	Witness
부상자	Injured person
사망자	The dead
소방관	Fire fighter
지갑을 홈치다	To have my wallet stollen
소매치기를 당하다	To have one's pockets picked
소매치기	Pick pocket
연기	Smoke
연기가 나다	To have smoke rise
분실물 센터	Lost and found centre
유실물 센터	Subway lost and found centre
재질	Quality, material
크기	Size
교통사고를 당하다	To be in a car accident
교통사고를 목격하다	To observe a car accident
다치다	To be hurt
부상을 당하다	To be injured
사망하다	To die from a car accident
신호등	Traffic lights
도둑이 들다	To have a thief break in
강도가 들다	To be mugged
은행 강도	Bank Robber
경찰서	Police station
경찰관	Police officer
경찰이 도둑을	To catch a thief
강도를 잡다	To catch a robber
범인	Suspect
소방차	Fire engine
불이 나다	To have a fire
화재가 발생하다	To start a fire
불을 끄다	To stop a fire
소화기	Fire extinguisher
구급차	Ambulance
소방서	Fire station
발견 	Discovery
어지럽다	To be disorderly
아이 쇼핑	Eye shopping
앰불런스	Ambulance
센티미터	Centimetre
미터	Metre
기로미터	Kilometre
인면 피하다	Expected casualty
원인	Cause
초반	Early stage or phase
중반	Middle stage or phase
후반	Late stage or phase
주름	Crease or wrinkle
출동하다	To be mobilized
신고하다	To report or declare
젊다	To be youthful
늙다	To be old
얼굴형	Shape of faces
갸름한 얼굴	An oval face
긴얼굴	A long face
둥근얼굴	A round face
네모난 얼굴	A square face
외모	Appearance or look
체형	Body
건장하다	To be burly
통통하다	To be chubby
마르다	To be thin
체격이 좋다	To have a good body (male)
점이 있다	To have a birthmark
보조개가 있다	To have a dimple
근육이 있다	To have big muscles
