동네	Neighborhood
슈퍼마켓	supermarket
노래방	karaoke
은행	bank
시장	market
우체국	Post office
공원	park
세탁소	Dry cleaners
약국	pharmacy
병원	hospital
미용실	Beauty shop
부동산	Real estate agency
문구점	Stationary store
서점	bookstore
도서관	library
식당	restaurant
지하철역	Subway station
정류장	bus stop
학교	School
기숙사	Dorm
주차장	Parking lot
공항	airport
호텔	hotel
여행사	Travel agency
영화관	Movie theater
미술관	Art gallery
박물관	museum
백화점	Department store
카페	cafe
대사관	Embassy
가수	singer
간호사	nurse
경찰	Police officer
군인	solider
운전기사	driver
기자	reporter
모델	model
변호사	Lawyer
선생님	teacher
영화배우	movie star
운동선수	athlete
은행원	bank teller
의사	doctor
점원(종업원)	Clerk
주부	Housewife
학생	student
화가	artist
회사원	Office worker
