,0,1
0,끝,End
1,나이,Age
2,나중,Later
3,내용,Contents
4,냄새,Smell
5,노래,Song
6,눈싸움,Snowball fight
7,뉴스,News
8,느낌,Feeling
9,능력,ability
10,다리,Leg
11,다음,Next
12,다이어트,Diet
13,단어,Word
14,단점,Shortcoming
15,답장,Reply
16,대부분,Majority
17,대화,conversation
18,대회,competition
19,댁,residence
20,덕분,thanks to
21,데이트,date
22,도시,city
23,도움,Help
0,봄,spring
1,여름,summer
2,가을,Fall
3,겨울,winter
4,비,rain
5,바람,wind
6,눈,snow
7,계절,seasons
8,날씨,weather
9,영하,Below zero
10,영상,Above zero
0,특징,feature
1,파티,party
2,패션,fashion
3,포장,"wrap, packing"
4,표현,expression
5,프로그램,program
6,하숙,boarding house
7,학기,semester
8,학년,grade
9,한번,"once, on trial"
10,한자,Chinese characters
11,할인,discount
12,해외,Overseas
13,행복,happiness
14,행사,event
15,현금,cash
16,현재,the present
17,혼자,alone
18,홈페이지,Home page
19,회의,meeting
20,후,after
21,휴가,"leave, vacation"
22,휴일,holiday
23,힘,Strength
0,정도,degree
1,정보,Information
2,제목,title
3,제일,"first, the most"
4,종류,type
5,졸업,graduation
6,종일,All day
7,주변,In the area of
8,주소,address
9,주인,"host, owner"
10,줄,"line, row"
11,중심,"center, main"
12,증세,symptom
13,지방,region
14,질,quality
15,처음,for the first time
16,최고,"Supreme, best"
17,추억,memory
18,축제,festival
19,출구,"Exit, way out"
20,출장,Business trip
21,취미,hobby
22,친구,Friend
23,키,Height
0,자동차,Automobile
1,비행기,plane
2,자전가,bike
3,택시,taxi
4,배,boat
5,버스,bus
6,기차,train
7,지하철,Subway
8,사거리,intersection
9,북쪽,north
10,남쪽,south
11,동쪽,east
12,서쪽,west
13,횡단보도,Crosswalk
14,신호등,Traffic signal
15,도로,Road
16,삼거리,3 way intersection
17,안,inside
18,밖,outside
19,위,on/over
20,아래(밑),Under
21,오른쪽,right
22,왼쪽,left
23,앞,front
24,뒤,behind
25,속,in/inside
26,사이 (가운데),Between
0,공연,Performance
1,공짜,Charge-free
2,공휴일,public holiday
3,과,lesson
4,과거,past
5,관계,relationship
6,관심,interest
7,광고,advertisement
8,교통사고,Traffic accident
9,국내,domestic
10,국립,national
11,국적,Nationality
12,국제,international
13,규칙,"rule, regulation"
14,근처,neighborhood
15,글,text
16,금연,no smoking
17,기간,period
18,기분,"feeling, mood"
19,기사,driver
20,기온,temperature
21,기침,cough
22,길,"way, path"
23,꿈,Dream
0,가다,to go
1,가르치다,to teach
2,가져가다,to take
3,가지다,to have
4,갈아타다,to transfer
5,감다,To close one’s eyes
6,감사하다,to thank
7,갖다,to have/hold/carry
8,걱정하다,to worry
9,건너다,to cross
10,걷다,to walk
11,걸다,to hang
12,걸리다,To catch (cold/disease)
13,걸어가다,to walk
14,결정하다,to make a decision
15,결혼하다,To get married
16,계산하다,to pay
17,계시다,to stay
18,고르다,to choose/select
19,고치다,to repair
20,공부하다,to study
21,관광하다,to site see
22,구경하다,to look around
23,구하다,to look for/seek
0,그리다,to draw
1,그치다,to cease
2,기다리다,to wait
3,기르다,to grow long
4,기뻐하다,to be glad
5,기억하다,to remember
6,긴장되다,to feel tension
7,깎다,"to cut (hair,price)"
8,깨다,to break
9,깨지다,to break(지)
10,꺼내다,to take out
11,꾸다,to dream
12,끄다,to turn off
13,끓이다,to boil
14,끝나다,to end
15,끝내다,to finish
16,끼다,to wear/put on
17,나가다,to go out
18,나누다,to share/exchange
19,나다,to appear/occur
20,나타나다,to appear
21,남기다,to leave/behind
22,낫다,to be cured
23,내다,to submit/spare
0,가격,Price
1,가요,Pop song
2,간식,Snack
3,감기,Cold
4,감동,Impression
5,값,Price
6,개인,Individual
7,거리,Street
8,거짓말,Lie
9,건물,Building
10,게임,Game
11,결과,Result
12,결혼식,Wedding
13,경기,Match/Game
14,경치,Scenery
15,경험,Experience
16,계단,Stairs
17,계획,Plan
18,고장,Break-down
19,고향,Hometown
20,골목,Ally
21,곳,"Place, spot"
22,공간,Space
23,공기,Air
0,부르다,to sing/to call
1,부치다,to send
2,불다,to blow/to play(instrument)
3,붓다,to swell
4,붙다,To stick/pass (examination)
5,붙이다,to paste
6,빌리다,to borrow
7,빨다,to wash
8,빼다,to remove/lose
9,사다,to buy
10,사랑하다,to love
11,사용하다,to use
12,사인하다,to sign
13,살다,to live
14,생각하다,to think
15,생기다,to obtain/arise/occur/happen
16,샤워하다,to shower
17,서다,to stand
18,선물하다,to present a gift
19,선택하다,to choose/select
20,설명하다,to explain
21,세수하다,to wash one's face
22,세우다,to park/plan/set up
23,세일하다,to have a sale
0,몸살,Illness (from fatigue)
1,무료,Free of charge
2,무역,trade
3,문장,sentence
4,문제,"question, trouble"
5,문화,culture
6,미래,future
7,박수,"Clapping, applause"
8,반,Class
9,발음,pronunciation
10,발표,announcement
11,방법,Method
12,방송,broadcast
13,방학,vacation
14,배달,Delivery
15,배탈,Stomachache
16,번호,number
17,병,Disease
18,부탁,request
19,분위기,"mood, atmosphere"
20,불,"light, fire"
21,비밀,secret
22,빨래,laundry
23,사고,Accident
0,독서,Reading
1,동네,town
2,동아리,circle
3,동안,during
4,드라마,drama
5,디자인,design
6,땀,sweat
7,때,"The time, the moment"
8,뜻,meaning
9,마음,mind
10,마지막,the last
11,말,language
12,맛,taste
13,매일,everyday
14,매주,weekly
15,메뉴,menu
16,메모,memo
17,메시지,message
18,며칠,"What day, a few days"
19,명절,National holiday
20,모양,"shape, form"
21,모임,"gathering, meeting"
22,목소리,voice
23,목적,Purpose
0,매다,to tie/fasten
1,먹다,to eat
2,메다,to shoulder
3,모르다,to not know
4,모시다,to accompany
5,모으다,to collect/raise
6,모이다,to gather
7,못하다,to be poor at/can't do
8,묻다,to ask
