,0,1
0,고개,head
1,고민,woe
2,고백,confession
3,고장,breakdown
4,고집,persistence
5,고통,suffering
6,곤란,trouble
7,골치,in the shit
8,곳곳,in parts
9,공공장소,public place
10,공동,joint
11,공사,construction
12,공통,common
13,공포,horror
14,공해,pollution
15,과로,overwork
16,과목,subject
17,과소비,overspending
18,과속,speeding
19,과식,overeating
20,과외,"coaching, private lesson"
21,과음,heavy drinking
22,과정,process
23,과제,assignment
24,관객,audience
25,관계자,a participant
26,관광,sightseeing
27,관련,relation
28,관리,administration
29,관심,interest
0,토하다,vomit
1,튀기다,fry
2,틀다,turn on
3,틀리다,be wong
4,파다,dig
5,펼치다,spread out
6,포기하다,give up
7,표현하다,express
8,풀다,untie
9,풀리다,come untied
10,피하다,avoid
11,합치다,unite
12,해결하다,settle
13,해내다,accomplish
14,해보다,try
15,향하다,face
16,허락하다,permit
17,헤매다,roam around/about
18,헤어지다,part from
19,헤엄치다,swim
20,혼내다,give sb a scolding
21,활용하다,use
22,훔치다,steal
23,흐르다,flow
24,흔들다,shake
25,흔들리다,shake
26,흘러가다,flow
27,흘리다,spill
28,힘내다,pluck up one's heart
29,힘쓰다,strive
0,부분,part
1,부상,injury
2,부상자,injured person
3,부서,department
4,부자,rich person
5,부작용,side effect
6,부잣집,rich family
7,부장,head of department
8,부정적,negative
9,부주의,carelessness
10,분량,amount
11,분리수거,separate collection
12,분실,loss
13,분위기,atmosphere
14,불경기,depression
15,불만,dissatisfaction
16,불면증,insomnia
17,불빛,light
18,불안,uneasiness
19,불안감,anxiety
20,불평,complaint
21,불행,misfortune
22,비교,comparison
23,비교적,comparatively
24,비만,obesity
25,비용,cost
26,빚,debt
27,사건,incident
28,사고방식,one's way of thinking
29,사교적,sociable
0,발달,"development, growth"
1,발명,invention
2,발전,development
3,밤새,all night long
4,방식,way
5,방해,disturbance
6,방향,direction
7,배경,background
8,배려,consideration
9,배우자,spouse
10,버릇,"habit, manners"
11,번역,translation
12,범위,range
13,범인,criminal
14,범죄,crime
15,법,the law
16,변경,alteration
17,변명,excuse for
18,변화,alteration
19,별명,nickname
20,별일,anything particular to do
21,보고,report on
22,보관,storage
23,보람,worthwhile
24,보물,treasure
25,보충,supplement
26,보호,protection
27,복,luck
28,봉사,service
29,부담,burden
0,쫓아내다,drive somebody out
1,쫓아다니다,follow somebody around
2,찌다,gain weight
3,찍히다,get stamped
4,찢기다,be torn
5,찢다,tear
6,찢어지다,be torn
7,차다,kick
8,차리다,"prepare, recover senses"
9,차지하다,take possession of
10,참다,bear
11,참석하다,attend
12,찾아내다,find out
13,찾아다니다,look for
14,찾아보다,look for
15,찾아뵈다,visit
16,채우다,fill in/up
17,챙기다,pack up
18,처리하다,handling
19,쳐다보다,look at
20,추진하다,propel
21,치다,hit
22,치우다,tidy up
23,커지다,bigger/larger
24,켜지다,light
25,키우다,raise
26,태우다,burn
27,택하다,choose
28,터지다,burst
29,털다,dust off/down
0,개인적,individual
1,개최,take place
2,객관적,objective
3,거래,dealing
4,거품,bubble
5,건강식품,health food
6,건망증,forgetfulness
7,건설,construction
8,건축,architecture
9,걸음,step
10,검사,examination
11,검색,search
12,겁,cowardice
13,겉모습,appearance
14,격려,encouragement
15,결과,result
16,결론,conclusion
17,결말,ending
18,결승,the final round
19,겸손,humility
20,경고,warning
21,경력,work experience
22,경비,expenditure
23,경영,management
24,경우,"instance, case"
25,경제,economy
26,경제적,"financial, economical"
27,경험,experience
28,계약,contract
29,계층,echelon
0,사막,desert
1,사망,death
2,사생활,privacy
3,사실,fact
4,사업,business
5,사은품,free gift
6,사정,reason
7,사투리,dialect
8,사표,resignation
9,사회생활,social life
10,사회적,social
11,산업,industry
12,살림,housekeeping
13,삶,"life (quality, general)"
14,상금,prize money
15,상담,advice
16,상대,opponent
17,상대방,the other side
18,상승,climb
19,상식,common sense
20,상업,commerce
21,상징,symbol
22,상태,condition
23,상표,trademark(TM)
24,상품권,gift card
25,상황,situation
26,생김새,features
27,생략,skip
28,생명,life (physical energy)
29,생산,production
0,가꾸다,raise
1,가라앉다,sink
2,가리다,hide
3,가리키다,piont
4,간섭하다,interfere
5,갇히다,be shut up
6,갈다,change
7,갈아입다,change
8,감기다,be twined around
9,감다,close eyes
10,감추다,hide
11,갖추다,prepare
12,갚다,repay
13,개다,clear up
14,개발하다,develop
15,거두다,"harvest, gather"
16,거절하다,refuse
17,거치다,go through
18,건네다,"hand, pass"
19,걸다,"hang, bet"
20,걸리다,be hung
21,겪다,experience
22,견디다,bear
23,결심하다,decide
24,겹치다,overlap
25,고르다,choose
26,고민하다,trouble
27,고생하다,have trouble
28,고호하다,accuse
29,고치다,repair
0,생중계,live broadcast
1,생필품,daily necessity
2,생활비,living expenses
3,서랍,drawer
4,서명,signature
5,선진국,developed country
6,선착순,by order of arrival
7,설득,persuasion
8,설명서,instructions
9,설문,survey
10,성능,performance
11,성별,gender
12,성실,faithfulness
13,성인,adult
14,성적,grade
15,성형,plastic surgery
16,세금,tax
17,세기,century
18,세대,generation
19,세련,polishing
20,세상,the world
21,세월,time
22,소감,thoughts
23,소규모,small scale
24,소득,income
25,소망,wish
26,소문,rumor
27,소비,consumption
28,소수,minority
29,소식,news
0,우선,first of all
1,우수성,superiority
2,우승,victory
3,우울증,depression
4,우정,friendship
5,우주,the universe
6,운명,destiny
