사무소	office 
틀다 	to turn on 
피해 	harm/damage (verbs used with 피해: 입다, 주다, 보다)
해	harm/damage (verbs used: 입다, 입히다, 주다)
손해	loss/damages (verbs used: 끼치다, 보다, 입다, 입히다)
영향	influence (verbs used: 끼치다, 미치다, 주다, 받다)
수입하다	to import 
대기 오염	air pollution 
농작물	crops 
경기	economy 
교외	suburbs
일방적이다	unilateral; one-sided 
매를 들다	to spank 
부녀회	women's society 
재활용	recycled; recyclable 
지정되다 	to be designated
임금	wages
인상하다	to raise 
수당	compensation 
유난히	particularly; especially
다수	majority 
벌금	fine 
사생활	privacy; private life 
권위적이다	bossy; authoritative
