잠을 설치다	to sleep fitfully 
부스럭거리다 	to rustle around 
분의 아니게 	against one's will 
따지다 	to discuss in a nitpicky way 
고발하다	to accuse/charge 
고소하다	to accuse 
부인하다	to deny
시인하다	to admit
목목하다	silent
금액	money sum
N에 시달리다	to suffer from N; to be pestered by N
공동	joint 
끙끙거리다	to groan and moan 
불평하다	to complain 
합의하다	to come to an agreement 
말다툼하다	to dispute
소음	noise; racket 
폭행죄	assault crime 
법원	court of law 
회원권	membership 
결재 	approval; authorization 
공기 청정기 	air purifier 
권리 	rights 
회상하다	to look back; to reminisce 
