,0,1
0,재배하다,cultivate (가꾸다/일구다/경작하다)
1,재현하다,reenact (재연하다)
2,저술하다,write (쓰다/저작하다/집필하다)
3,적용하다,apply (사용하다/응용하다)
4,전래되다,be handed (도래되다/전해 내려오다)
5,전수하다,pass down (물려주다/전하다/전승하다)
6,전이되다,transfer (이전되다/양도되다/이동되다)
7,전파하다,spread (확산하다/퍼지다/퍼뜨리다/옮기다)
8,전후하다,be around
9,절감하다,feel keenly/become keenly aware (통감하다)
10,절감하다,reduce/trim/cut down (절약하다/줄이다)
11,절제하다,control/restrain (억제하다/조절하다/억누르다)
12,점검하다,make an inspection (검사하다/검열하다/점사하다)
13,점령하다,seize/occupy (점거하다/점유하다/점하다)
14,접다,fold/put aside (개다/개키다/포개다)
15,접목하다,graft(tree)/blend (섞다/혼합하다)
16,접속하다,access (인접하다/접근하다)
17,접어들다,come near/approach (다가오다/이르다/접근하다)
18,접하다,hear/learn of/about
19,정착하다,settle down (ᄌᄎᄒᄃ/거주하다/가정을 꾸미다/영주하다)
20,정체되다,become stagnant (침체되다/삽체되다)
21,제기하다,raise (제론하다/제언하다)
22,제외되다,be excluded (빠지다/배척되다/배제되다)
23,제작하다,produce (생산하다/배출하다/만들다)
24,제정하다,enact (입법화하다/규정하다)
25,제한되다,be restricted (금지되다/속발되다)
26,조르다,pester/economize (괴롭히다/떼쓰다)
27,조성하다,make/create (만들다/짓다/내다/이루다)
28,조이다,tighten/be anxious about (죄다/쪼이다)
29,조작하다,fabricate (ᄌᄌᄒᄃ/날조하다/짓다/지어내다/꾸미다)
0,조장하다,encourage/aggravate (부추기다/악화시키다/권장하다/격려하다/복돋우다/고무하다)
1,조정되다,be adjusted (조절되다/보정되다)
2,조직하다,organize (결성하다/정비하다/주선하다)
3,종사하다,work in (근무하다/나가다)
4,좌우하다,affect (좌지우지하다/파급하다/미치다)
5,좌절하다,get[be] discouraged/disheartened/baffled (꺾이다/낙심하다/낙담하다)
6,주관하다,supervise (관장하다/감수하다/감독하다/잡죄다)
7,주도하다,take the lead (이끌다/앞장서다/앞서다/선도하다/솔선하다/선머리에 서다/수뇌가 되다)
8,주목하다,pay attention to (눈여겨보다/유의하다/집중하다)
9,주선하다,arrange (배열하다/배치하다/처리하다/정리하다)
10,주저하다,hesitate (망설이다/머뭇거리다/우물쭈물하다/주춤거리다/멈칫하다)
11,준수하다,obey (지키다/복종하다/순종하다/받듣다)
12,증발하다,evaporate (사라지다/날아가다/기화하다)
13,증원하다,increase personnel
14,증정하다,present (주다/바치다)
15,지급하다,provide (주다/지불하다/제공하다/공급하다)
16,지니다,have/carry (가지다/품다/보유하다/간직하다/갖추다)
17,지망하다,apply for (바라다/요청하다/신청하다/출원하다)
18,지배하다,govern (집정하다/다스리다/통치하다/통어하다)
19,지속되다,last/be continued (속개하다/이어지다/잇다/계속하다)
20,지적하다,point out (꼽다/지목하다/짚다)
21,지정하다,designate (지적하다)
22,지참하다,bring (가져가다/데려가다)
