배정되다	be assigned (맡다/할당하다/안배하다/배당하다)
배제하다	exclude (제외하다/배척하다)
배척하다	exclude (제외하다/배제하다: 따돌리거나 거부하여 밀어 내치다)
배출하다	emit (내다/내뿜다/발산하다/방출하다)
배치하다	arrange/place/deploy (배열하다/정리하다:사람이나 물자 따위를 일정한 자리에 알맞게 나누어 두다)
배회하다	hang around (어슬렁거리다/얼쩡거리다:아무 목적도 없이 어떤 곳을 중심으로 어슬렁거리며 이리저리 돌아다니다.)
버티다	endure (인내하다/견디다/참다)
번성하다	prosper (번영하다/번창하다)
번식시키다	breed
번창하다	flourish (번영하다/번서아하다)
벌이다	begin/wage (사업/잔치/시위/술판/전쟁/말다툼 등을)
병행하다	do two or more things at the same time/combine (둘이상의 일을 한꺼번에 행하다)
보강하다	reinforce (강화하다/증강하다/강조하다)
보급되다	become common (흔해지다)
보류되다	be postponed/be put on hold (연기다/미루다:어떤 일이 당장 처리되지 아니하고 나중으로 미루어지다)
보상하다	compensate (벌충하다/배샹하다/물어주다/변상하다)
보완되다	be supplemented with (추가되다/부가되다:모자라거나 부족한 것을 보충하여 완전하게 되다)
보유하다	possess (소유하다/소지하다/보관하다/보전하다)
보존하다	preserve (유지하다/지키다/보호하다)
복구하다	restore (회복하다/복원하다/복위시키다/되돌리다)
복받치다	surge(북받치다/치받치다/끓어오르다)
복수하다	avenge (보복하다/설욕하다)
복원하다	restore (복구하다/회복하다/되돌리다)
복제하다	make a copy (복사하다)
부각되다	stand out in relief (어떤 사물이 특징지어져 두드러지게 되다:강조되다)
부담하다	bear
부양하다	support/provide for
부여하다	give/grant (주다)
부응하다	meet/satisfy/fulfill/(formal) gratify)
부임하다	go to a new post
