뽐내다	boast (자랑하다)
뿌리박다	take hold (정착하다)
뿌리치다	shake off/turn down/decline/reject
사로잡히다	be taken captive/be seized with (매료되다)
살피다	look around/sound out (검사하다/둘러보다/돌아보다)
삼다	regard/make (여기다)
상기되다	flush (얼굴이 붉어지다/ᄉᄀᄃ 다)
상승하다	rise (인상하다/솟다/오르다/올라가다/증가하다)
상응하다	correspond (일치하다/호응하다/해당하다/부합하다)
상주하다	reside (살다/거주하다)
새기다	carve (조각하다/깍아서 만들다)
서슴다	waiver/falter/hesitate (주저하다/머뭇거리다/망설이다: 결단을 내리지 못하고 머뭇거리며 망설이다)
석방되다	be released/go free (출옥하다/해방하다)
선도하다	take the lead (앞서다/솔선하다)
선정되다	be nominated (지명되다/내세우다/지목되다)
선출하다	elect (선임하다/선거하다)
설계하다	design (디자인하다/도안하다)
설립하다	establish (설정하다/확립하다/세우다/정립하다)
섬기다	serve (신이나 윗사람을 잘 모시어 받들다)
섭취하다	take in (먹다/흡수하다)
성립되다	come into effect (실시되다/시행되다)
성행하다	be prevalent (만연하다/유행하다)
소각하다	incinerate (소실하다)
소멸하다	be extinct/extinguish/disappear/get rid of/determine (사라지다/멸하다:사라져 없어지다)
소모되다	get used up/be consumed (바닥나다/소비되다)
소비되다	be consumed (소모되다)
소실되다	be destroyed by fire (불에 타 없어지다/분멸되다/홀딱 타다)
소외되다	be alienated
소요되다	take/cost (소미되다/소비되다)
소유하다	own/possess (보유하다/소지하다)
