쑤시다	ache/throb (아프다/새큰거리다/옥신거리다/들이쑤시다)
쓰다듬다	stroke/pet
아끼다	cherish/save (소중히 여기다)
아랑곳하다	be concerned (관심하다/관계하다)
아우르다	bring together/integrate/merge (모으다)
악물다	clench(one's teeth)
악용하다	abuse (남용하다/오용하다)
악화되다	degenerate (ᄋᄒᄃᄃ)
안주하다	settle down somewhere/satisfy oneself
알선하다	introduce (sb to sth/sb for their own benefit)
앞세우다	have (someone) go ahead (내걸다)
앞장서다	lead/go first (솔선하다/주도하다)
애용하다	enjoy using/patronize (즐겨 쓰다/상용하다)
야기하다	cause (생기다/사건 따위를 끌어 일으키다)
약화되다	weaken (약해지다)
양육하다	bring up/nurse (보육하다/기르다/키우다/아이를 보살피다)
얕보다	look down on (경시하다/낮잡다/넘보다)
어우러지다	mix/go well together (어울리다)
억제하다	control/suppress (압박하다/억자하다/위압하다)
언급하다	mention (말하다/논하다/논평하다)
얽매이다	be bound (걸리다/구속되다)
얽히다	be related/be entwined (뒤엉키다/걸려들다)
없애다	remove (지우다/없이하다)
엎치락뒤치락하다	turn over and over (오낙가락하다/바뀌다)
여기다	regard (간주하다/생각하다/인정하다)
연계하다	work together (연결하다/연합하다)
연상되다	associate
연속하다	continue (계속하다/지속하다)
연출하다	direct
연합하다	combine (결합하다/연계하다/합치다)
