응하다	accept/answer (받아들이다/대답하다/수용하다)
의식하다	be aware (인식하다/인지하다/지각하다)
이끌다	lead guide (선도하다/데리고 가다/안내하다)
이룩하다	accomplish (이루다/실현하다/성취하다/해내다/완수하다)
이르다	arrive (달하다/닿다/도달하다/도착하다/도래하다/다다르다/내도하다)
이바지하다	contribute (공헌하다/기여하다/기부하다/기증하다)
이완되다	be relaxed (풀리다/완화되다/발을 뻗다)
이입되다	be imported (수입되다/들여오다)
이주하다	migrate (이동하다/이전하다)
인수하다	take over (넘겨받다/인계받다/건네받다)
인식하다	recognize (알다/깨닫다/의식하다)
인용하다	quote (말을 빌리다/제시하다)
인하하다	reduce (줄이다/낮추다/축소하다/떨어뜨리다/감하다)
일관하다	be consistent (앞뒤가 맞다)
일다	rise/happen (일어나다/부풀다/생기다)
일치하다	correspond (맞다/들어맞다/동조하다/같다)
일컫다	call/term (가지켜 말하다/부르다)
임명되다	be appointed (피임되다/취임되다/등용되다)
임하다	go/take/face/engage in
입증하다	prove (증명하다/논증하다)
잇다	take over/connect (연결하다/연속하다/계승하다)
잇따르다	occur in succession (잇달다/연달다)
자극하다	stimulate/excite/incite (부체질하다/격려하다/돋우다)
자라나다	grow up (자라다/장성하다/성장하다)
자리매김하다	rank/position
잠재하다	be latent (은연하다)
잡히다	be decided/caught/taken (붙잡히다/절리다)
장담하다	say confidently
재건하다	rebuild (고쳐짓다/개축하다)
재다	measure (측정하다)
