진화하다	evolve (발전하다/발달하다/진전하다)
짐작하다	assume (가정하다/추정하다/추측하다/상정하다)
짓밟다	stamp/trample down (밟아 뭉개다/짓이기다)
짚다	place one's hand/point out (대다/지목하다/지적하다/다루다)
째려보다	glare (노려보다/쏘아보다)
쪼그라들다	shrink (오그라들다)
찌푸리다	1be cloudy/2frown (1흐리다/흐릿하다/끼다/2찡그리다/누비다)
착각하다	1delude oneself/2misunderstand (1자만하다/2잘목 알다)
창립하다	establish (ᄎᄅᄒᄃ/설립하다/수립하다/확립하다/설정하다/세우다)
창제하다	invent (발명하다)
창출하다	create (조성하다/창조하다/창작하다)
채우다	1fasten/2lock (1단추를/2쇠를)
채택하다	adopt (채용하다/힐책하다/구책하다/받아들다/도입하다)
책망하다	reproach (질책하다/비난하다/힐난하다)
처하다	1face/2punish (1놓이다/임하다/2처벌하다/선고하다)
철수하다	withdraw (물러나다/손떼다/취하하다/인출하다/기권하다/탈퇴하다)
철회하다	call off (철수하다/취소하다/중지하다/중단하다)
첨가되다	be added (추가되다)
청구하다	charge/[make a] claim (요구하다/신청하다/청하다)
청하다	ask for (구하다/요청하다/부탁하다)
체결하다	make a contract (맺다/정약하다/계약하다)
체류하다	stay (머무르다/계속 있다)
초래하다	cause [a bad thing to happen] (야기하다/처하게 하다)
초월하다	transcend
촉진하다	promote (홍보하다/고취하다/권장하다/장려하다/육성하다)
추구하다	pursue [an intangible thing)
추론하다	deduce (추고하다/추리하다/추정하다/연역하다)
추리다	select/pick out (가려내다/골라내다/뽑다)
추모하다	commemorate (기념하다/추도하다/추억하다)
추진하다	1go ahead with/2propel (1진행하다/촉진하다)
