평가하다	evaluate (감정하다/심사하다)
폐지되다	be abolished (폐교되다)
포괄하다	include (포함하다/함유하다/수록하다)
포착하다	capture/take hold (잡다/붙잡다)
포함하다	contain (포괄하다/함유하다/수록하다)
폭등하다	soar (급등하다/급증하다/급상승하다)
폭락하다	decline (급락하다)
폭로하다	reveal (밝히다/드러내다)
표명하다	express/state (표출하다/표현하다/표하다/밝히다)
표출하다	express (표명하다/표현하다/표하다/밝히다)
하소연하다	whine on (징징거리다/푸념하다)
한몫하다	have a hand in
한정되다	be limited (제한되다/국한되다)
한하다	set a limit (한도를 정하다/제한을 두다)
합의하다	reach an agreement (합의에 도달[이루다/이르다]하다
항의하다	protest (항변하다/시위하다/들고일어나다)
해독하다	decipher (판독하다)
해소하다	resolve (해결하다)
해체되다	be dissolved/disintegrate (해산되다)
향상되다	improve (개선되다/제고되다/개량되다)
향하다	go toward/turn (지향하다/대하다/면하다)
허물다	demolish (헐다/무너뜨리다/철거하다)
허비하다	waste (낭비하다/탕진하다)
허용되다	be allowed (허가받다)
헌납하다	donate (기증하다/기부하다/기탁하다)
헤어나다	shake oneself free
헷갈리다	be confused (어리벙벙하다/덴겁하다)
헹구다	rinse (가시다/씻다/세정하다)
현존하다	exist (존재하다/존립하다/실재하다/실존하다)
형성되다	be formed (생기다)
