형용하다	describe (형언하다/말하다/표사하다)
호전되다	get better (나아지다/좋아지다)
호흡하다	breath/respire (숨쉬다/한숨돌리다)
혹사하다	overwork (과로하다/무리하다)
혼동하다	confuse A with B
화합하다	harmonize (조화하다/어울리다)
확대하다	expand/enlarge (확충하다/확장하다/팽창하다)
확립되다	get/be established (성립되다/설립되다/수립되다)
확보하다	secure (보증하다/획득하다/굳히다)
확산되다	be spread/proliferate (증식하다/증가하다/퍼지다)
확충하다	enlarge/expand (확대하다/확장하다/팽창하다)
환원하다	return/restore (되돌리다/복원하다/복구하다)
환호하다	cheer (황성을 지르다/응원하다/성원하다)
활약하다	be active (활동하다/활황을 띠다)
회복하다	recover (되찾다/복구하다/수복하다)
후원하다	support/patronize (지원하다/지지하다/부양하다)
훼방하다	interrupt (막다/증단시키다/가리를 틀다)
훼손하다	damage (손상을 주다/피해를 입히다)
휘날리다	flutter/flap [in the wind] (흩날리다/나부끼다/흔들리다)
휘둘러보다	look all around (주위를 두루 살피다/사방을 살펴보다)
휘말리다	be swept up [in/by]/get caught [up/in] (말려들다)
흐느끼다	sob (흑 울다)
흐리다	make cloudy
흐트러지다	be in disorder/be distracted (분요하다/정돈되어 있지 않다)
흡수되다	be absorbed (흡인되다/섭취되다)
흥얼거리다	hum (콧노래를 부르다/흥흥 거리다)
흩날리다	flutter/blow in the wind (나부끼다/휘날리다/흔들리다)
흩어지다	scatter (늘어놓다/흩뿌리다)
희생하다	sacrifice (제물을 바치다)
힘끔거리다	glance (흘낏[휙] 보다/흝어보다)
