위주	mainly (주로/위해)
위탁	consignment (개발/제조/제작/부탁/위임)
유세	campaign (켐페인/선전)
유형	type (종류/타입)
유혹	temptation (영혹/유인)
은퇴	retirement (퇴직/퇴임/은거)
응모	application for subscription
의도	intention (의지/계획)
의문	doubt (의아)
이론	theory (설)
이면	the hidden side (뒷면)
이치	reason (논리/천리)
인근	vicinity (근방/근처/이웃)
인상	rise/increase (상승)
인재	talented person
인적	sign of life
인접	adjacent (옆/곁/근접)
인파	crowd (군중)
일각	corner/tip
일거수일투족	one's every move
일리	some reason/truth
일선	the front lines
일쑤	흔히 또는 으레 그러는 일
일품	excellent (절품)
일환	part (부분/일부)
임무	assignment/task (업무/사무)
입지	location (장소/위치)
자각	self-awareness (반성)
자격	qualification
자랑	boast (호언)
