뇌물	bribe (상납금)
능률	efficiency (효율/효과/효능율)
단서	clue (실마리/열쇠)
당부	request (부탁/요청/신청/청탁)
당시	in those days (그때/그즘에/그무렵에)
대상	object (목적/물체/물건)
덜미	around the neck
돌파구	breakthrough (해결책/돌파)
동작	motion (몸짓/움직임)
동조	agreement (동의/일치/동감/찬성)
동향	trend (동정/흐름/추세/경향/유행)
두각	superiority (우월/탁월/우능)
뒷받침	support (뒷바라지/지지)
뒷전	postponing (지체/지연/유예)
등용문	gateway to success
디딤돌	foothold (수단/발판/거점)
또래	peer (동년배/연배/동료)
뜬구름	1drifting cloud 2empty hope/dream/etc
마감	deadline (기일/기한/시한)
마구잡이	random (무작위/되는대로/닥치는대로)
마찰	friction (분쟁/충돌/알력)
막무가내	stubbornness (고집)
막판	last moment (마지막 순간/최후)
만료	expiration (만기/종료)
말꼬리	the end of the word
말문	one's mouth when speaking
말썽	trouble (물의/분란/곤욕/곤경)
망상	delusion (착각/허상/망념)
눈치	social awareness (재기/재치/돈지)
단결	solidarity (단합/결속/결합/일치/협동/단합)
