분야	field (부문/방면)
분쟁	conflict (갈등)
비결	know-how (노하우)
비만	obesity
비법	secret formula (요령)
비율	ratio (보합)
비중	importance (의의/중요성/가치/경중/중요도)
빈도	frequency (빈삭)
사기	fraud (야바위/협잡/기망)
사례	example (예/보기/본보기)
사태	situation (상태/형편/사건)
살림	housekeeping (잡안일)
상식	common sense (보통지식)
새싹	bud (새순)
생계	a living (생활)
생성	creation (발생/창조)
생존	survival (존재)
선의	goodwill (호의/호감)
성과	successful outcome (결과/성적)
성능	performance (기능)
성분	ingredient (요소/재료)
성비	sex ratio
성원	support/cheering (응원)
성향	tendency (기질/경향)
세균	germ (균)
성품	personality (성격/인격/개성/인성)
선착순	first come first served
상황	situation (상태/사태/입장/처지)
상생	coexistence (공존)
사시사철	all year round
