가지런하다	even (고르다)
가파르다	steep (비탈지다)
가혹하다	harsh (끔찍하다/혹독하다/심하다)
간결하다	concise (간략하다/간단하다)
간절하다	desperate (절실하다)
감미롭다	mellow (달콤하다)
갑갑하다	stuffy (답답하다)
강력하다	powerful (막강하다/강하다/세다)
개운하다	refreshed (거뜬하다/시원하다/기뿐하다)
갸륵하다	praiseworthy (가상하다/기특하다/장하다)
거대하다	huge (막대하다/대단하다/엄첨나다)
거뜬하다	to feel light (가뜬하다)
거만하다	haughty (오만하다/도도하다/불손하다)
거창하다	grandiose (과대하다/과장하다/흥감하다)
거칠다	rough/violent (험하다/험난하다)
거침없다	feisty (혈기 왕성하다)
건장하다	bulky (우람하다/육중하다)
검붉다	dark red (진홍색/심홍색/암적색)
검소하다	thrifty (알뜰하다/절약하다/검약하다)
격렬하다	fierce (치열하다/맹렬하다/강열하다)
견고하다	solid/firm (튼튼하다/튼실하다/굳다)
경솔하다	rash (무모하다/성급하다/섣부르다)
경이롭다	marvelous (놀랍다/굉장하다/신기하다)
고루하다	outdated (케케묵다/전근대적이다/낡다)
고유하다	inherent (자연적/내재적)
고즈넉하다	quiet (호젖하다/고요하다/조용하다)
공공연하다	open/public (공공의/공[개]적)
공허하다	empty (허전하다/비다)
과격하다	extreme (극심하다/지나치다)
과감하다	drastic (용감하다/급격하다/극단적)
