무분별하다	thoughtless (몰지각하다/방정맞다/생각이 짧다)
무색하다	ashamed (부끄럽다/창피하다)
무수하다	countless (무궁무진하다/수없다)
무한하다	infinite (무굴무진하다/한없다)
뭉뚝하다	blunt (무디다/뭉툭하다)
미미하다	slight
미세하다	minute (세밀하다/세세다)
미지근하다	lukewarm (미적지근하다)
미흡하다	insufficient (부족하다)
민첩하다	agile (잽싸다/기민하다/재빠르다)
밀접하다	close (가깝다/친근하다)
바람직하다	desirable (옳다)
바르다	straight/upright
벅차다	be too much to handle/full hearted
번거롭다	cumbersome (거추장스럽다/번잡하다)
번듯하다	decent
번잡하다	choatic
범상하다	ordinary (예사롭다)
변덕스럽다	capricious (내치락들이치락하/요사스럽다/도섭스럽다/요망스럽다)
변변하다	satisfactory/suitable (적절하다)
보잘것없다	trivial (불품없다/사소하다/하찮다/시시하다)
볼록하다	bulging (불룩하다/핑핑하다)
부단하다	constant (꾸준하다/끊임없다/줄기차다)
부유하다	wealthy (풍족하다/유복하다/포실하다)
부조리하다	irrational (비합리적/역리의/몰상식하다)
분분하다	divergent (구구하다)
분주하다	busy (바쁘다/급급하다)
불가피하다	inevitable (필연적/부득이하다/면할 수 없다/피할 수 없다)
불공정하다	unfair (불공평하다/불평등하다/부당하다)
불과하다	nothing more than
