어색하다	awkward (부자연스럽다/서먹하다/서투르다)
어설프다	lame/fumbling (서투르다/머뭇거리다)
엄숙하다	solemn (장엄하다/침통하다/근엄하다/장중하다)
여리다	tender (다정하다/상냥하다/부드럽다/연하다)
영험하다	mystical/miracle-working
예리하다	sharp/keen (날카롭다/뾰족하다)
예민하다	sensitive/keen/sharp (민감하다/영민하다)
오목하다	dented (우묵하다/옴푹하다)
오붓하다	cozy (아늑하다/포근하다)
온순하다	mild (순하다/온화하다)
온화하다	mild (mannered)/temperate (온난하다/따뜻하다/포근하다/순하다)
완만하다	slow/gentle (느리다/느릿느릿하다)
완연하다	obvious (분명하다/명백하다/명확하다/뻔하다)
우렁차다	rich and full (sound) (듣기 좋다/낭랑하다)
우수하다	excellent (뛰어나다/훌륭하다/탁월하다)
우아하다	elegant (고상하다/단아하다)
우직하다	honest to a fault
울긋불긋하다	colorful (다채롭다/화려하다)
웅장하다	magnificent (성대하다/웅대하다)
원만하다	amicable (단란하다/우호적이다/화목하다)
원활하다	smooth (순조롭다/순탄하다)
웬만하다	tolerable (괜찮다/쑬쑬하다)
위독하다	critical (위중하다/심각하다/위급하다)
위중하다	critical (위독하다/심각하다/위급하다)
유난스럽다	unusual (남다르다/별나다/유별나다)
유능하다	competent (능숙하다)
유리하다	advantageous (이롭다/유익하다)
유사하다	similar (비슷하다/엇비슷하다/근사하다/흡사하다)
유연하다	flexible (유통성 있다/신축성 있다/탄력적이다)
유용하다	useful (도움이 되다/쓸모 있다/쓸데있다/유익하다)
