폭넓다	wide/broad (넓다/광범위하다/해박하다)
풍부하다	rich [in]/plentiful (풍성하다/푸짐하다/두둑하다)
하찮다	trifling/trivial (사소하다/보잘것없다/시시하다)
한없다	infinite (그지없다/무한하다/무궁무진하다)
허망하다	vain (허무하다/덧없다/부질없다)
허무하다	futile (허망하다/덧없다/부질없다)
허술하다	lax (초라하다/어설프다/엉성하다)
허전하다	empty (비다/공허하다)
허하다	1feeble 2empty (1[연/심]약하다 2공허하다/허전하다)
허황되다	be hollow/false/wild (궁글다/텅비다)
헐렁하다	loose (헐겁다/느슨하다/헹글헹글하다)
험난하다	1dangerous/rough 2steep/rough (1위험하다 2가파르다)
헛되다	futile/vain/useless (소용없다/무의미하다/보답없다)
헤프다	1wasteful 2[sexually] easy (1헙헙하다 2쉽다)
현명하다	wise (슬기롭다/지혜롭다/명철하다)
현저하다	remarkable/noticeable (두드러지다/뚜렷하다/특출하다)
호들갑스럽다	말이나 하는 짓이 야단스럽고 방정맞다
호젖하다	quiet/lonesome (고적하다/한적하다/적적하다)
혼탁하다	murky (탁하다/흐리다)
홀가분하다	lighthearted (산뜻하다/가볍다/가뿐하다)
화목하다	harmonious (조화롭다/평화롭다/단란하다)
화사하다	gorgeous (화미하다/화려하다/호화찬란하다)
확고하다	firm/adamant (단호하다/과단하다/굳다)
후련하다	feel relieved/refreshed (시원하다/개운하다)
훈훈하다	warm (따뜻하다/따스하다/열릴하다)
휘황찬란하다	glittering (눈부시다/현란하다/오색찬란하다)
흐뭇하다	pleased (흡족하다/해낙낙하다/마땅하다)
흥겹다	cheerful (즐겁다/쾌활하다/명랑하다)
희미하다	dim (어렴풋하다/흐릿하다/어슴푸레하다)
희박하다	1밀도가 낮은 2가능성이 적은 (드물다/적다)
