실감이 나다	to feel real
경기 둔화	economic slowdown
연쇄 부도	series of nonpayment, chain bankruptcy
봇물 터지듯이 쏟아지다	봇물처럼 쏟아지다
경제 상식	economic sense or common knowledge
재테크	investment techniques
경제 용어	economic terminology
훑어보다	to look through, glance over
언급되다	to appear or come up, be mentioned
자유무역협정	FTA
머리글자를 따다	to take the first letter (of a word)
증진시키다	to upstep, enhance, improve, increase
체결하다	to enter into a contract, sign, make an agreement
향방	direction, course
제법이다	to be better than expected
까막눈	eye of an ignoramus, someone who is blind or illiterate, ignorant of something
신세를 면하다	to escape from the circumstances
