이해 관계국	countries connected by both profit and damage
불미스럽다	不美; scandalous, disgraceful, ugly
기미	sign, indication (with visible proof)
민감하다	to be sensitive (to), susceptible
꼬이다	to be entangled in or with
잠정적	임시로
인도주의	humanitarianism
민간 교류	private exchange/interchange, private communication
당국	the authorities, relevant authorities
재개되다	다시 시작하게 되다
불가분의 관계	뗄 수가 없는 관계
생이별	살아있는데도 헤어짐
이산가족	families separated by the Korean War
시사하다	to imply, suggest, hint (미리 간접적으로 보여주다)
전례	precedent, previous example
야기되다	to be caused by, be generated by
물꼬를 트다	for something that had been previously hard to do or blocked off to be able to start in all seriousness
